    ,    ,    ,B&C+SI,,,,,,,,,B&C+LSI,,,,,,,,,GBD,,,,,,,,,sB&C+LSI,,,,Greedy,,B&C+LSI+MILP,,,,,CP+LSI,,,CP+BI,,
       m,       n,   gamma,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),N,v,UB^2,T(G%),v,T(G%),CT,N,v,T^MILP,T(G%),v,It,T(G%),v,It
     800,     400,      NH,(0.8),    32.5,   88586,    158857,     2.0,    162038,    150209,     993,    162017, 726.3,    71.4,   24259,    158857,     0.7,    159954,    153441,     992,    159729,(0.5),    11.4,   75192,    158857,    23.1,    206547,     43654,    1005,    185518,(0.2),   89969,    158857,    168723,   3.4,    157263,(55.7),  7200.0,       1,    120465,    2.00,      --,        --,       1,      --,        --,       1
    1000,     100,       1,   0.8,     0.1,       1,    330340,     0.0,    330340,    330340,    1960,    330340,   0.8,     0.1,       1,    330340,     0.0,    330340,    330340,    1960,    330340,  22.1,     1.4,     643,    330340,     7.5,    357036,    220076,    1100,    336717,   5.5,     699,    330340,    364687,   0.2,    327104,   0.7,     0.1,       1,    330340,<0.01,  68.5,    330340,       6, 610.1,    330340,      12
    1000,     100,       2,  52.0,     6.7,    1023,    331100,     0.5,    332760,    329430,    1113,    332384,  12.6,     5.6,     295,    331100,     0.2,    331619,    329157,    1324,    331315, 126.7,     1.8,    2413,    331100,     5.5,    350453,    252689,    1072,    338861,  88.9,    3114,    331100,    364876,   0.3,    329339,(0.7),  7200.0,       1,    329157,    0.15,1731.9,    331100,       7,2915.0,    331100,      10
    1000,     100,       3,4837.0,    10.7,   82191,    330659,     1.2,    334539,    322972,    1091,    334524,  90.7,    10.3,    1474,    330659,     0.4,    331917,    329871,    1182,    331793,1169.6,     2.0,   18648,    330659,     4.7,    346820,    292158,    1072,    334882, 603.6,    7321,    330659,    367566,   0.5,    328931,(38.6),  7199.7,       1,    249831,    0.38,5503.2,    330659,       8,      --,        --,       2
    1000,     100,      NH, 151.0,     7.2,    3543,    315119,     0.6,    317055,    309611,    1119,    316841,  14.0,     7.1,     428,    315119,     0.2,    315698,    314722,    1390,    315583, 109.7,     2.4,    2532,    315119,     6.3,    336452,    248237,    1085,    320396, 113.8,    3087,    315119,    353257,   0.3,    312162,(1.5),  7198.8,       1,    311122,    0.26, 554.6,    315119,       7,2162.1,    315119,      10
    1000,     200,       1,   1.5,     0.1,       1,    279108,<0.1,    279176,    278622,    1804,    279108,   1.5,     0.1,       1,    279108,<0.1,    279176,    278622,    1804,    279108, 207.3,     2.5,    8684,    279108,    14.1,    324855,    160678,    1150,    302177,  77.0,    2418,    279108,    291456,   0.7,    276236,   1.5,     0.1,       1,    279108,<0.01, 321.6,    279108,       5,3089.3,    279108,      14
    1000,     200,       2,5673.5,    11.8,  124725,    277575,     1.3,    281216,    266634,    1162,    280954,  97.1,    15.4,    2559,    277575,     0.5,    279041,    269450,    1156,    278661,(0.3),     3.5,  121678,    277575,    10.6,    310381,    208591,    1147,    287341,1712.2,   21742,    277575,    318329,   1.0,    274374,(3.5),  7198.9,       1,    269450,    0.23,      --,        --,       2,      --,        --,       2
    1000,     200,       3,(1.5),    28.6,   22739,    276919,     2.5,    283976,    266195,    1133,    283867,(0.2),    36.0,   58692,    276919,     1.2,    280350,    271485,    1118,    280306,(0.5),     4.8,   58313,    276788,     9.0,    304285,    232432,    1146,    286670,(0.5),   34786,    276919,    295768,   1.6,    274617,(43.5),  7199.8,       1,    217846,    0.51,      --,        --,       2,      --,        --,       2
    1000,     200,      NH,1749.2,    13.3,   49131,    269590,     1.0,    272330,    264558,    1167,    271855,  31.9,    15.3,    1678,    269590,     0.3,    270275,    268854,    1179,    270126,(<0.1),     6.0,  172000,    269590,    10.6,    301503,    183152,    1145,    292004, 200.9,    1461,    269590,    281195,   1.1,    267325,(47.3),  7199.9,       1,    198722,    0.68,      --,        --,       2,      --,        --,       2
    1000,     300,       1,   1.4,     0.1,       1,    250267,     0.0,    250267,    250267,    1947,    250267,   1.5,     0.2,       1,    250267,     0.0,    250267,    250267,    1947,    250267, 606.2,     3.6,   21729,    250267,    18.2,    305867,    111340,    1201,    288366,  18.4,    2205,    250267,    262193,   1.6,    246929,   1.3,     0.1,       1,    250267,<0.01,      --,        --,       2,      --,        --,       2
    1000,     300,       2,(0.2),    24.3,  154554,    246941,     1.4,    250346,    238719,    1170,    250293,  66.1,    32.3,    1222,    246941,     0.4,    247982,    241983,    1156,    247748,(0.3),     5.7,   93814,    246941,    14.5,    288707,    139678,    1201,    275586,1890.2,   14529,    246941,    262793,   2.1,    243555,(17.6),  7199.9,       1,    232979,    0.40,      --,        --,       1,      --,        --,       1
    1000,     300,       3,(1.8),    57.8,   16905,    245607,     2.8,    252656,    232717,    1161,    252511,(0.3),    49.6,   90387,    245607,     1.2,    248512,    240706,    1155,    248464,(0.7),    10.8,   54319,    245607,    12.6,    281156,    158139,    1199,    269631,(0.7),   24013,    245607,    302450,   4.0,    242939,(51.2),  7200.0,       1,    182315,    0.80,      --,        --,       1,      --,        --,       1
    1000,     300,      NH,(0.9),    23.7,   67981,    242150,     2.0,    246970,    235352,    1245,    246946,1304.8,    32.8,   28759,    242150,     0.7,    243876,    235977,    1218,    243680,(0.3),     7.9,   59369,    242150,    15.3,    285743,    131588,    1192,    270854,(0.2),   58167,    242150,    260848,   2.5,    239607,(51.4),  7200.0,       1,    177808,    1.23,      --,        --,       1,      --,        --,       1
    1000,     400,       1,   1.9,     0.2,       1,    227145,<0.1,    227153,    227145,    2111,    227145,   2.1,     0.2,       1,    227145,<0.1,    227153,    227145,    2111,    227145,(0.2),     5.4,  198861,    227145,    23.6,    297297,     54841,    1251,    271052,  67.0,     934,    227145,    240222,   3.4,    222778,   1.9,     0.2,       1,    227145,<0.01,      --,        --,       1,      --,        --,       1
    1000,     400,       2,(0.6),    41.5,  114939,    223582,     1.8,    227792,    214602,    1204,    227707, 503.6,    38.0,   12529,    223587,     0.7,    225173,    219182,    1167,    224961,(1.1),     8.8,   50348,    223582,    19.2,    276707,     96552,    1240,    257230,(0.1),   64704,    223587,    235603,   4.1,    221154,(49.5),  7200.0,       1,    183490,    0.60,      --,        --,       1,      --,        --,       1
    1000,     400,       3,(3.8),    62.8,   16941,    218487,     3.9,    229314,    209847,    1181,    229041,(0.9),    93.7,   37044,    220298,     1.9,    224564,    213704,    1168,    224561,(1.5),    14.3,   41167,    220121,    17.5,    266882,    103972,    1241,    250288,(1.4),   18606,    220298,    240748,   5.5,    218542,(49.5),  7200.0,       1,    182764,    1.22,      --,        --,       1,      --,        --,       1
    1000,     400,      NH,(0.7),    34.2,   57253,    222849,     1.7,    226805,    214260,    1232,    226362, 448.8,    63.9,   12479,    222849,     0.5,    224067,    220870,    1193,    223916,(0.5),    10.9,   61765,    222849,    18.1,    271998,    112094,    1213,    254622,(0.1),   56890,    222849,    235784,   5.3,    221051,(50.2),  7200.0,       1,    177324,    1.48,      --,        --,       1,      --,        --,       1
