Set parameter TimeLimit to value 7200
Setting GBD: A two-stage implementation of the stage-of-the-art generalized Benders decomposition (GBD) approach proposed by Lin & Tian (2021).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
112         1517714.513    1892117.677    19.8     191.1         1
113         1517714.513    1892117.677    19.8     192.6         1
114         1517714.513    1892117.677    19.8     194.0         1
115         1517714.513    1892117.677    19.8     195.6         1
116         1517714.513    1892117.677    19.8     197.0         1
117         1517714.513    1892117.677    19.8     198.7         1
118         1517714.513    1892117.677    19.8     200.2         1
119         1517714.513    1892117.677    19.8     201.7         1
120         1517714.513    1892117.677    19.8     203.2         1
121         1517714.513    1892117.677    19.8     205.1         1
122         1517714.513    1892117.677    19.8     206.5         1
123         1517714.513    1892117.677    19.8     208.0         1
124         1517714.513    1892117.677    19.8     209.5         1
125         1517714.513    1892117.677    19.8     211.0         1
126         1517714.513    1892117.677    19.8     212.4         1
127         1517714.513    1892117.677    19.8     214.2         1
128         1517714.513    1892117.677    19.8     215.6         1
129         1517714.513    1892117.677    19.8     217.0         1
130         1517714.513    1892117.677    19.8     218.5         1
131         1517714.513    1892117.677    19.8     220.1         1
132         1517714.513    1892117.677    19.8     221.4         1
133         1517714.513    1892117.677    19.8     222.9         1
134         1517714.513    1892117.677    19.8     224.3         1
135         1517714.513    1892117.677    19.8     225.7         1
136         1517714.513    1892117.677    19.8     227.1         1
137         1517714.513    1892117.677    19.8     228.7         1
138         1517714.513    1892117.677    19.8     230.1         1
139         1517714.513    1892117.677    19.8     231.5         1
140         1517714.513    1892117.677    19.8     232.9         1
141         1517714.513    1892117.677    19.8     234.3         1
142         1517714.513    1892117.677    19.8     235.7         1
143         1517714.513    1892117.677    19.8     237.0         1
144         1517714.513    1892117.677    19.8     238.4         1
145         1517714.513    1892117.677    19.8     239.8         1
146         1517714.513    1892117.677    19.8     241.2         1
147         1517714.513    1892117.677    19.8     242.8         1
148         1517714.513    1892117.677    19.8     244.2         1
149         1517714.513    1892117.677    19.8     245.6         1
150         1517714.513    1892117.677    19.8     246.9         1
151         1517714.513    1892117.677    19.8     248.2         1
152         1517714.513    1892117.677    19.8     249.5         1
153         1517714.513    1892117.677    19.8     250.9         1
154         1517714.513    1892117.677    19.8     252.2         1
155         1517714.513    1892117.677    19.8     253.6         1
156         1517714.513    1892117.677    19.8     255.0         1
157         1517714.513    1892117.677    19.8     256.3         1
158         1517714.513    1892117.677    19.8     257.7         1
159         1517714.513    1892117.677    19.8     259.3         1
160         1517714.513    1892117.677    19.8     260.6         1
161         1517714.513    1892117.677    19.8     261.9         1
162         1517714.513    1892117.677    19.8     263.2         1
163         1517714.513    1892117.677    19.8     264.6         1
164         1517714.513    1892117.677    19.8     265.9         1
165         1517714.513    1892117.677    19.8     267.2         1
166         1517714.513    1892117.677    19.8     268.6         1
167         1517714.513    1892117.677    19.8     270.0         1
168         1517714.513    1892117.677    19.8     271.4         1
169         1517714.513    1892117.677    19.8     272.8         1
170         1517714.513    1892117.677    19.8     274.8         1
171         1517714.513    1892117.677    19.8     276.2         1
172         1517714.513    1892117.677    19.8     277.7         1
173         1517714.513    1892117.677    19.8     279.1         1
174         1517714.513    1892117.677    19.8     280.5         1
175         1517714.513    1892117.677    19.8     281.9         1
176         1517714.513    1892117.677    19.8     283.4         1
177         1517714.513    1892117.677    19.8     284.9         1
178         1517714.513    1892117.677    19.8     286.3         1
179         1517714.513    1892117.677    19.8     287.7         1
180         1517714.513    1892117.677    19.8     289.3         1
181         1517714.513    1892117.677    19.8     290.7         1
182         1517714.513    1892117.677    19.8     292.1         1
183         1517714.513    1892117.677    19.8     293.4         1
184         1517714.513    1892117.677    19.8     294.6         1
185         1517714.513    1892117.677    19.8     295.9         1
186         1517714.513    1892117.677    19.8     297.3         1
187         1517714.513    1892117.677    19.8     298.8         1
188         1517714.513    1892117.677    19.8     300.2         1
189         1517714.513    1892117.677    19.8     301.5         1
190         1517714.513    1892117.677    19.8     303.1         1
191         1517714.513    1892117.677    19.8     304.4         1
192         1517714.513    1892117.677    19.8     305.9         1
193         1517714.513    1892117.677    19.8     307.3         1
194         1517714.513    1892117.677    19.8     308.7         1
195         1517714.513    1892117.677    19.8     310.1         1
196         1517714.513    1892117.677    19.8     311.5         1
197         1517714.513    1892117.677    19.8     313.0         1
198         1517714.513    1892117.677    19.8     314.5         1
199         1517714.513    1892117.677    19.8     315.8         1
200         1517714.513    1892117.677    19.8     317.1         1
201         1517714.513    1892117.677    19.8     318.6         1
202         1517714.513    1892117.677    19.8     320.0         1
203         1517714.513    1892117.677    19.8     321.4         1
204         1517714.513    1892117.677    19.8     322.8         1
205         1517714.513    1892117.677    19.8     324.1         1
206         1517714.513    1892117.677    19.8     325.5         1
207         1517714.513    1892117.677    19.8     326.8         1
208         1517714.513    1892117.677    19.8     328.2         1
209         1517714.513    1892117.677    19.8     329.6         1
210         1517714.513    1892117.677    19.8     331.0         1
211         1517714.513    1892117.677    19.8     332.4         1
212         1517714.513    1892117.677    19.8     334.0         1
213         1517714.513    1892117.677    19.8     335.4         1
214         1517714.513    1892117.677    19.8     336.8         1
215         1517714.513    1892117.677    19.8     338.2         1
216         1517714.513    1892117.677    19.8     339.6         1
217         1517714.513    1892117.677    19.8     341.0         1
218         1517714.513    1892117.677    19.8     342.4         1
219         1517714.513    1892117.677    19.8     343.8         1
220         1517714.513    1892117.677    19.8     345.3         1
221         1517714.513    1892117.677    19.8     346.7         1
222         1517714.513    1892117.677    19.8     348.3         1
223         1517714.513    1892117.677    19.8     349.7         1
224         1517714.513    1892117.677    19.8     351.1         1
225         1517714.513    1892117.677    19.8     352.5         1
226         1517714.513    1892117.677    19.8     353.9         1
227         1517714.513    1892117.677    19.8     355.3         1
228         1517714.513    1892117.677    19.8     356.7         1
229         1517714.513    1892117.677    19.8     358.1         1
230         1517714.513    1892117.677    19.8     359.5         1
231         1517714.513    1892117.677    19.8     360.9         1
232         1517714.513    1892117.677    19.8     362.3         1
233         1517714.513    1892117.677    19.8     364.0         1
234         1517714.513    1892117.677    19.8     365.5         1
235         1517714.513    1892117.677    19.8     366.9         1
236         1517714.513    1892117.677    19.8     368.3         1
237         1517714.513    1892117.677    19.8     369.7         1
238         1517714.513    1892117.677    19.8     371.5         1
239         1517714.513    1892117.677    19.8     373.0         1
240         1517714.513    1892117.677    19.8     374.5         1
241         1517714.513    1892117.677    19.8     375.9         1
242         1517714.513    1892117.677    19.8     377.3         1
243         1517714.513    1892117.677    19.8     379.0         1
244         1517714.513    1892117.677    19.8     380.4         1
245         1517714.513    1892117.677    19.8     381.8         1
246         1517714.513    1892117.677    19.8     383.3         1
247         1517714.513    1892117.677    19.8     384.7         1
248         1517714.513    1892117.677    19.8     386.1         1
249         1517714.513    1892117.677    19.8     387.5         1
250         1517714.513    1892117.677    19.8     388.9         1
251         1517714.513    1892117.677    19.8     390.3         1
252         1517714.513    1892117.677    19.8     391.8         1
253         1517714.513    1892117.677    19.8     393.5         1
254         1517714.513    1892117.677    19.8     394.9         1
255         1517714.513    1892117.677    19.8     396.3         1
256         1517714.513    1892117.677    19.8     397.7         1
257         1517714.513    1892117.677    19.8     399.2         1
258         1517714.513    1892117.677    19.8     400.6         1
259         1517714.513    1892117.677    19.8     402.1         1
260         1517714.513    1892117.677    19.8     403.6         1
261         1517714.513    1892117.677    19.8     405.0         1
262         1517714.513    1892117.677    19.8     406.5         1
263         1517714.513    1892117.677    19.8     407.9         1
264         1517714.513    1892117.677    19.8     409.5         1
265         1517714.513    1892117.677    19.8     410.9         1
266         1517714.513    1892117.677    19.8     412.3         1
267         1517714.513    1892117.677    19.8     413.7         1
268         1517714.513    1892117.677    19.8     415.1         1
269         1517714.513    1892117.677    19.8     416.5         1
270         1517714.513    1892117.677    19.8     417.8         1
271         1517714.513    1892117.677    19.8     419.2         1
272         1517714.513    1892117.677    19.8     420.6         1
273         1517714.513    1892117.677    19.8     422.0         1
274         1517714.513    1892117.677    19.8     423.5         1
275         1517714.513    1892117.677    19.8     425.0         1
276         1517714.513    1892117.677    19.8     426.4         1
277         1517714.513    1892117.677    19.8     427.8         1
278         1517714.513    1892117.677    19.8     429.2         1
279         1517714.513    1892117.677    19.8     430.7         1
280         1517714.513    1892117.677    19.8     432.1         1
281         1517714.513    1892117.677    19.8     433.5         1
282         1517714.513    1892117.677    19.8     434.9         1
283         1517714.513    1892117.677    19.8     436.3         1
284         1517714.513    1892117.677    19.8     438.0         1
285         1517714.513    1892117.677    19.8     439.4         1
286         1517714.513    1892117.677    19.8     440.8         1
287         1517714.513    1892117.677    19.8     442.2         1
288         1517714.513    1892117.677    19.8     443.6         1
289         1517714.513    1892117.677    19.8     445.0         1
290         1517714.513    1892117.677    19.8     446.4         1
291         1517714.513    1892117.677    19.8     447.8         1
292         1517714.513    1892117.677    19.8     449.3         1
293         1517714.513    1892117.677    19.8     450.7         1
294         1517714.513    1892117.677    19.8     452.1         1
295         1517714.513    1892117.677    19.8     453.6         1
296         1517714.513    1892117.677    19.8     455.0         1
297         1517714.513    1892117.677    19.8     456.4         1
298         1517714.513    1892117.677    19.8     457.7         1
299         1517714.513    1892117.677    19.8     459.1         1
300         1517714.513    1892117.677    19.8     460.7         1
301         1517714.513    1892117.677    19.8     462.1         1
302         1517714.513    1892117.677    19.8     463.4         1
303         1517714.513    1892117.677    19.8     464.8         1
304         1517714.513    1892117.677    19.8     466.1         1
305         1517714.513    1892117.677    19.8     467.5         1
306         1517714.513    1892117.677    19.8     469.1         1
307         1517714.513    1892117.677    19.8     470.5         1
308         1517714.513    1892117.677    19.8     471.9         1
309         1517714.513    1892117.677    19.8     473.3         1
310         1517714.513    1892117.677    19.8     474.6         1
311         1517714.513    1892117.677    19.8     476.1         1
312         1517714.513    1892117.677    19.8     477.5         1
313         1517714.513    1892117.677    19.8     478.8         1
314         1517714.513    1892117.677    19.8     480.2         1
315         1517714.513    1892117.677    19.8     481.7         1
316         1517714.513    1892117.677    19.8     483.1         1
317         1517714.513    1892117.677    19.8     484.8         1
318         1517714.513    1892117.677    19.8     486.2         1
319         1517714.513    1892117.677    19.8     487.7         1
320         1517714.513    1892117.677    19.8     489.1         1
321         1517714.513    1892117.677    19.8     490.5         1
322         1517714.513    1892117.677    19.8     492.0         1
323         1517714.513    1892117.677    19.8     493.5         1
324         1517714.513    1892117.677    19.8     494.9         1
325         1517714.513    1892117.677    19.8     496.4         1
326         1517714.513    1892117.677    19.8     497.9         1
327         1517714.513    1892117.677    19.8     499.7         1
328         1517714.513    1892117.677    19.8     501.1         1
329         1517714.513    1892117.677    19.8     502.5         1
330         1517714.513    1892117.677    19.8     504.0         1
331         1517714.513    1892117.677    19.8     505.4         1
332         1517714.513    1892117.677    19.8     506.8         1
333         1517714.513    1892117.677    19.8     508.2         1
334         1517714.513    1892117.677    19.8     509.7         1
335         1517714.513    1892117.677    19.8     511.1         1
336         1517714.513    1892117.677    19.8     512.5         1
337         1517714.513    1892117.677    19.8     514.0         1
338         1517714.513    1892117.677    19.8     515.5         1
339         1517714.513    1892117.677    19.8     516.8         1
340         1517714.513    1892117.677    19.8     518.2         1
341         1517714.513    1892117.677    19.8     519.6         1
342         1517714.513    1892117.677    19.8     521.0         1
343         1517714.513    1892117.677    19.8     522.4         1
344         1517714.513    1892117.677    19.8     523.8         1
345         1517714.513    1892117.677    19.8     525.2         1
346         1517714.513    1892117.677    19.8     526.7         1
347         1517714.513    1892117.677    19.8     528.4         1
348         1517714.513    1892117.677    19.8     529.8         1
349         1517714.513    1892117.677    19.8     531.3         1
350         1517714.513    1892117.677    19.8     532.7         1
351         1517714.513    1892117.677    19.8     534.2         1
352         1517714.513    1892117.677    19.8     535.7         1
353         1517714.513    1892117.677    19.8     536.8         1
354         1517714.513    1892117.677    19.8     538.0         1
355         1517714.513    1892117.677    19.8     539.2         1
356         1517714.513    1892117.677    19.8     540.4         1
357         1517714.513    1892117.677    19.8     541.5         1
358         1517714.513    1892117.677    19.8     542.6         1
359         1517714.513    1892117.677    19.8     543.9         1
360         1517714.513    1892117.677    19.8     545.1         1
361         1517714.513    1892117.677    19.8     546.2         1
362         1517714.513    1892117.677    19.8     547.3         1
363         1517714.513    1892117.677    19.8     548.4         1
364         1517714.513    1892117.677    19.8     549.5         1
365         1517714.513    1892117.677    19.8     550.6         1
