    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  3349  2050 177900.995   29  106 175732.574 178631.182  1.65%  77.3  220s
  3394  2088 177937.768   24  114 175732.574 178630.573  1.65%  77.6  225s
  3467  2147 177622.081   26  108 175732.574 178627.034  1.65%  78.5  230s
  3540  2196 178545.192   21  125 175732.574 178622.143  1.64%  78.8  235s
  3603  2243 177453.639   32  108 175732.574 178617.973  1.64%  79.4  241s
  3662  2270 177567.511   26  108 175732.574 178616.524  1.64%  79.4  245s
  3734  2321 178414.482   18  116 175732.574 178609.364  1.64%  79.6  250s
  3780  2367 176581.605   41   73 175732.574 178609.364  1.64%  80.1  255s
H 3829  2389                    175752.22731 178609.364  1.63%  79.8  258s
  3838  2400 177668.167   27  111 175752.227 178605.897  1.62%  80.1  260s
  3908  2460 175782.656   53   39 175752.227 178599.225  1.62%  80.1  265s
  3966  2504 177338.145   32   99 175752.227 178585.180  1.61%  80.2  272s
  4009  2537 176964.758   30   92 175752.227 178584.410  1.61%  80.5  275s
  4083  2598 177523.191   29   95 175752.227 178584.099  1.61%  81.2  280s
  4156  2655 176931.742   40   94 175752.227 178566.444  1.60%  81.6  285s
  4234  2711 178274.708   18  120 175752.227 178560.030  1.60%  81.5  290s
  4298  2759 178104.204   24  113 175752.227 178544.945  1.59%  82.1  295s
  4335  2796 176524.582   37   77 175752.227 178544.945  1.59%  82.7  303s
  4380  2828 178182.661   23  109 175752.227 178522.835  1.58%  82.4  305s
  4463  2886 178246.086   22  111 175752.227 178522.131  1.58%  82.4  310s
  4515  2928 177067.713   37  103 175752.227 178516.662  1.57%  82.5  315s
  4587  2986 176943.027   39   98 175752.227 178497.437  1.56%  82.7  320s
  4653  3034 177568.060   28   97 175752.227 178493.309  1.56%  82.9  325s
  4745  3096 175829.704   45   78 175752.227 178490.085  1.56%  83.1  330s
  4800  3135 178209.359   25  117 175752.227 178482.794  1.55%  83.2  335s
  4857  3192 176258.509   49   65 175752.227 178482.794  1.55%  83.6  340s
  4926  3242 178130.313   24  117 175752.227 178479.509  1.55%  83.6  345s
  4989  3304 175898.155   56   58 175752.227 178479.509  1.55%  84.1  350s
  5052  3345 178237.750   23  114 175752.227 178476.467  1.55%  84.2  355s
  5136  3412 178001.262   24  113 175752.227 178474.403  1.55%  84.3  360s
  5210  3468 177526.219   29  100 175752.227 178471.145  1.55%  84.5  365s
  5263  3512 176475.531   45   92 175752.227 178470.157  1.55%  84.5  370s
  5323  3552 176790.597   34   77 175752.227 178466.319  1.54%  84.7  378s
  5362  3571 178262.964   21  116 175752.227 178461.909  1.54%  84.6  380s
  5441  3640 178291.082   21  118 175752.227 178454.409  1.54%  84.7  385s
  5505  3693 176727.592   42   84 175752.227 178450.376  1.54%  84.9  390s
  5576  3747 178364.384   21  117 175752.227 178445.617  1.53%  84.7  395s
  5660  3811 178062.168   25  110 175752.227 178441.075  1.53%  84.7  400s
  5734  3873 176210.948   48   86 175752.227 178433.770  1.53%  84.6  405s
  5815  3916 177580.998   31  110 175752.227 178427.186  1.52%  84.6  413s
  5827  3928 176774.366   43   94 175752.227 178427.186  1.52%  84.7  415s
  5912  4000 175831.734   56   60 175752.227 178426.897  1.52%  85.1  420s
  6005  4062 177224.476   29   96 175752.227 178425.017  1.52%  85.2  425s
  6090  4120 177628.925   26  104 175752.227 178423.641  1.52%  85.2  430s
  6135  4157 176472.486   40   85 175752.227 178415.973  1.52%  85.3  436s
  6205  4207 177316.277   29  102 175752.227 178414.106  1.51%  85.4  440s
  6276  4260 176432.480   43   81 175752.227 178408.210  1.51%  85.8  445s
  6358  4322 176498.137   42   95 175752.227 178407.553  1.51%  85.8  450s
  6452  4393 177723.630   28  107 175752.227 178401.702  1.51%  85.9  455s
  6522  4445     cutoff   56      175752.227 178401.159  1.51%  85.8  460s
H 6560  4303                    175858.06272 178400.959  1.45%  85.8  464s
  6561  4306 175876.022   43   49 175858.063 178400.959  1.45%  85.8  465s
  6645  4362 175858.070   56   75 175858.063 178399.529  1.45%  85.8  470s
  6709  4416 177266.299   32   86 175858.063 178397.968  1.44%  86.0  475s
  6812  4497 175892.422   57   74 175858.063 178396.155  1.44%  86.1  480s
  6887  4550 177593.090   26  101 175858.063 178392.230  1.44%  86.5  485s
H 7000  4577                    175895.53189 178392.230  1.42%  86.4  491s
  7040  4611 178244.214   20  113 175895.532 178390.501  1.42%  86.6  495s
  7092  4653 177011.916   38   98 175895.532 178390.196  1.42%  86.9  502s
  7163  4703 178233.365   20  121 175895.532 178388.520  1.42%  86.9  505s
  7239  4761 176757.855   33   84 175895.532 178387.943  1.42%  87.2  510s
  7328  4826 176248.524   48   90 175895.532 178387.818  1.42%  87.3  515s
  7399  4875 178087.062   20  117 175895.532 178384.144  1.41%  87.4  520s
  7435  4911 176479.344   40   76 175895.532 178384.144  1.41%  87.6  525s
H 7462  4814                    175948.40034 178384.137  1.38%  87.6  528s
  7495  4842 177499.555   26  103 175948.400 178382.600  1.38%  87.7  530s
  7560  4888 177590.503   27   96 175948.400 178379.836  1.38%  87.9  535s
  7661  4966 177675.135   32   97 175948.400 178378.160  1.38%  87.8  540s
H 7719  4963                    175972.23221 178377.773  1.37%  87.8  546s
  7784  4999 178160.964   20  109 175972.232 178375.320  1.37%  87.8  550s
  7860  5057 177872.528   24  113 175972.232 178374.385  1.37%  87.9  555s
  7935  5122 177100.452   39  104 175972.232 178368.275  1.36%  88.2  560s
  8013  5176 177492.110   31  103 175972.232 178363.844  1.36%  88.2  565s
  8105  5244 176569.369   41   66 175972.232 178358.727  1.36%  88.1  570s
  8173  5290 177646.619   30  108 175972.232 178352.886  1.35%  88.0  575s
  8244  5343 178051.397   25  107 175972.232 178351.683  1.35%  88.0  581s
  8300  5379 178062.957   25  109 175972.232 178349.389  1.35%  88.1  585s
  8395  5462 176285.551   51   43 175972.232 178339.193  1.35%  88.3  590s
  8481  5518 178093.632   23  114 175972.232 178336.277  1.34%  88.3  595s
  8553  5570 177675.531   29  104 175972.232 178332.608  1.34%  88.6  600s
  8608  5610 177800.025   27  111 175972.232 178330.052  1.34%  88.7  605s
  8641  5636 177953.138   21  111 175972.232 178329.818  1.34%  88.7  610s
  8731  5708 177316.435   33   97 175972.232 178325.869  1.34%  88.6  615s
  8801  5770 176502.064   36   86 175972.232 178324.642  1.34%  88.8  620s
  8901  5840 176066.862   52   79 175972.232 178322.155  1.34%  88.8  625s
H 8929  5831                    175978.72849 178322.076  1.33%  88.8  628s
  8956  5860 176026.989   56   85 175978.728 178322.076  1.33%  88.8  630s
  9009  5895 177212.208   35  109 175978.728 178321.144  1.33%  88.9  635s
  9068  5938 177929.529   25  111 175978.728 178319.887  1.33%  89.0  640s
  9138  5992 176979.190   32   76 175978.728 178315.083  1.33%  89.1  645s
  9200  6042 176071.291   44   79 175978.728 178314.158  1.33%  89.2  650s
  9283  6101 178068.162   25  114 175978.728 178307.892  1.32%  89.2  655s
  9354  6153 176597.563   37   85 175978.728 178307.449  1.32%  89.5  660s
  9440  6209 177196.380   32   89 175978.728 178304.346  1.32%  89.5  665s
  9516  6262 177970.262   27  108 175978.728 178303.389  1.32%  89.5  670s
  9586  6315 178071.220   24  110 175978.728 178302.470  1.32%  89.4  675s
  9669  6376 177724.841   31  106 175978.728 178297.413  1.32%  89.5  680s
  9713  6420 176595.045   45   77 175978.728 178297.413  1.32%  89.6  685s
  9778  6476     cutoff   51      175978.728 178296.839  1.32%  89.5  690s
  9863  6523 177228.974   30   95 175978.728 178295.753  1.32%  89.6  695s
  9929  6573 178128.438   25  112 175978.728 178295.511  1.32%  89.6  700s
  9995  6627 178086.035   23  120 175978.728 178295.344  1.32%  89.9  705s
 10006  6638 177092.799   34  106 175978.728 178295.344  1.32%  89.9  710s
 10064  6675 177544.164   27  107 175978.728 178293.176  1.32%  90.0  715s
 10148  6739 177295.472   29   89 175978.728 178292.399  1.31%  90.1  720s
 10234  6799 177908.057   24  110 175978.728 178290.072  1.31%  90.1  725s
 10314  6856 177718.728   28  110 175978.728 178289.694  1.31%  90.1  730s
 10403  6907 176148.790   45   76 175978.728 178288.047  1.31%  90.1  735s
 10495  6964 177824.915   29  106 175978.728 178281.798  1.31%  90.2  740s
 10571  7025 177193.376   30   95 175978.728 178278.606  1.31%  90.2  745s
 10663  7097 177661.496   25  109 175978.728 178278.193  1.31%  90.1  750s
 10743  7167 176166.666   47   70 175978.728 178277.980  1.31%  90.2  755s
 10849  7213 178075.719   21  118 175978.728 178276.648  1.31%  90.1  760s
 10940  7272 176242.342   40   70 175978.728 178272.902  1.30%  90.0  765s
 11019  7326 176304.981   48   82 175978.728 178271.754  1.30%  90.0  770s
 11101  7388 177365.478   33  110 175978.728 178270.454  1.30%  90.1  775s
 11175  7442 176831.585   36  105 175978.728 178269.210  1.30%  90.1  780s
 11220  7471 177985.697   28  112 175978.728 178268.790  1.30%  90.1  785s
 11293  7524 177743.450   30  103 175978.728 178267.298  1.30%  90.1  790s
 11367  7580 177892.961   24  108 175978.728 178266.928  1.30%  90.0  795s
 11446  7639 177869.012   28  110 175978.728 178266.010  1.30%  90.1  800s
 11528  7713 176919.020   34   78 175978.728 178265.664  1.30%  90.2  805s
 11578  7743 177720.748   29  102 175978.728 178263.602  1.30%  90.2  814s
 11580  7745 177497.763   31   97 175978.728 178263.602  1.30%  90.2  815s
 11652  7799 176767.226   38  100 175978.728 178261.819  1.30%  90.3  820s
 11740  7845 177026.475   35  100 175978.728 178261.021  1.30%  90.2  825s
 11827  7906 176128.282   50   81 175978.728 178259.283  1.30%  90.2  830s
 11902  7961 176921.865   36   72 175978.728 178256.015  1.29%  90.4  835s
 11979  8024 176985.687   35  104 175978.728 178255.669  1.29%  90.5  840s
 12060  8081     cutoff   53      175978.728 178255.547  1.29%  90.6  845s
 12133  8125 177748.411   28  102 175978.728 178251.477  1.29%  90.7  850s
 12207  8177 177514.083   30  107 175978.728 178250.376  1.29%  90.8  855s
 12272  8230 176547.920   41   71 175978.728 178247.859  1.29%  91.0  860s
 12360  8289 176090.952   52   75 175978.728 178242.598  1.29%  91.0  865s
 12442  8356 176127.323   50   76 175978.728 178242.304  1.29%  91.1  870s
 12491  8389 177482.416   28  102 175978.728 178239.926  1.28%  91.2  876s
