Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0xcab6f26f
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [9e-06, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.249407e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1774   556 247075.211   16  157 246941.036 247528.181  0.24%   127  435s
  1811   569 246999.999   23  131 246941.036 247524.420  0.24%   127  440s
  1848   584 247227.411   25  128 246941.036 247520.089  0.23%   127  445s
  1885   601 247134.930   25  123 246941.036 247506.680  0.23%   127  450s
  1925   615 247317.897   20  149 246941.036 247503.068  0.23%   127  455s
  1972   630     cutoff   31      246941.036 247502.431  0.23%   127  460s
  2000   646 247013.266   30  114 246941.036 247496.209  0.22%   127  465s
  2039   666 246986.264   28  113 246941.036 247491.970  0.22%   128  470s
  2093   685 246954.595   26  116 246941.036 247487.988  0.22%   128  475s
  2139   697 247086.868   25  114 246941.036 247486.203  0.22%   128  480s
  2191   711 247101.663   26  106 246941.036 247483.121  0.22%   128  485s
  2239   734 246974.882   29  109 246941.036 247477.492  0.22%   128  490s
  2275   738 247277.266   20  144 246941.036 247473.676  0.22%   128  495s
  2317   754 246977.757   27  116 246941.036 247473.316  0.22%   128  500s
  2363   768 246944.968   30  101 246941.036 247469.899  0.21%   128  505s
  2398   771 247367.526   20  130 246941.036 247469.168  0.21%   128  510s
  2417   780 247299.618   23  123 246941.036 247469.022  0.21%   128  515s
