    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1834   732 224189.746   36  128 220711.811 225439.057  2.14%  66.7  185s
  1880   762 222893.409   59   80 220711.811 225439.057  2.14%  67.2  190s
  1972   834 221085.419  106   17 220711.811 225439.057  2.14%  66.3  195s
H 1997   688                    221522.44353 225439.057  1.77%  65.7  196s
  2004   683 225353.537   24  155 221522.444 225366.625  1.74%  65.7  202s
  2016   695 224695.554   30  132 221522.444 225366.625  1.74%  66.3  205s
  2046   725 223679.368   45  119 221522.444 225366.625  1.74%  67.1  210s
  2093   772 222541.968   69   70 221522.444 225366.625  1.74%  67.6  215s
  2147   805 225148.012   27  157 221522.444 225366.556  1.74%  67.5  220s
  2161   819 224356.838   34  132 221522.444 225366.556  1.74%  68.1  225s
  2199   857 223192.786   53   89 221522.444 225366.556  1.74%  68.6  230s
  2259   917 221953.535   83   34 221522.444 225366.556  1.74%  68.3  238s
  2285   941 221963.401   97   14 221522.444 225366.556  1.74%  67.8  241s
  2296   945 221617.420  102   12 221522.444 225366.556  1.74%  67.6  245s
  2323   952 221947.408  118    1 221522.444 225366.556  1.74%  66.9  251s
* 2325   824             119    221947.40244 225366.556  1.54%  66.9  251s
  2336   835 224517.698   32  139 221947.402 225354.963  1.54%  67.5  255s
  2350   849 223906.898   39  126 221947.402 225354.963  1.54%  67.9  260s
  2377   876 222944.916   53  107 221947.402 225354.963  1.54%  68.5  265s
  2418   908 225108.105   26  152 221947.402 225352.532  1.53%  68.8  270s
  2434   924 224250.239   38  131 221947.402 225352.532  1.53%  69.1  275s
  2472   962 222614.758   57   97 221947.402 225352.532  1.53%  69.4  280s
  2533  1012 223705.617   44  111 221947.402 225319.960  1.52%  69.9  285s
  2587  1066 222291.331   63   82 221947.402 225319.960  1.52%  70.4  290s
  2623  1093 224437.259   32  129 221947.402 225309.034  1.51%  70.9  295s
  2665  1135 222502.160   51   96 221947.402 225309.034  1.51%  71.3  300s
  2708  1161 225152.317   25  153 221947.402 225308.050  1.51%  71.2  305s
  2731  1184 224300.515   38  119 221947.402 225308.050  1.51%  71.7  310s
  2745  1198 223846.017   43  111 221947.402 225308.050  1.51%  72.1  315s
  2789  1242 222881.628   59   72 221947.402 225308.050  1.51%  72.5  320s
  2865  1291 224579.556   27  147 221947.402 225305.344  1.51%  71.9  325s
  2901  1327 223425.978   40  109 221947.402 225305.344  1.51%  72.2  330s
  2963  1375 225108.055   25  150 221947.402 225256.181  1.49%  72.4  335s
  2990  1402 223500.357   41  114 221947.402 225256.181  1.49%  72.8  340s
  3037  1448 222043.314   65   69 221947.402 225256.181  1.49%  72.9  345s
  3065  1464 223888.381   38  117 221947.402 225256.116  1.49%  73.4  351s
  3104  1503 222609.542   60   68 221947.402 225256.116  1.49%  73.6  355s
  3180  1569 223443.402   43  104 221947.402 225253.921  1.49%  73.7  360s
  3271  1651 223741.228   40  122 221947.402 225253.605  1.49%  73.5  365s
  3311  1684 222981.390   44  116 221947.402 225245.133  1.49%  73.8  370s
  3353  1710 224387.964   35  136 221947.402 225245.123  1.49%  74.3  375s
  3379  1736 223057.707   48  108 221947.402 225245.123  1.49%  74.8  380s
  3426  1767 224868.348   27  156 221947.402 225219.486  1.47%  74.9  385s
  3452  1793 222404.300   53  121 221947.402 225219.486  1.47%  75.2  390s
  3481  1812 223646.406   46  113 221947.402 225219.134  1.47%  75.5  395s
H 3486  1478                    222353.07725 225219.134  1.29%  75.5  397s
  3487  1481 223179.240   52  107 222353.077 225219.134  1.29%  75.6  401s
  3513  1499 224188.217   34  131 222353.077 225217.209  1.29%  75.7  407s
  3528  1514 223553.940   39  114 222353.077 225217.209  1.29%  75.9  410s
H 3540  1215                    222794.75451 225217.209  1.09%  75.9  415s
  3567  1234 224402.442   32  138 222794.755 225217.151  1.09%  76.1  421s
  3594  1251 224795.644   27  147 222794.755 225213.295  1.09%  76.3  426s
  3620  1276 222888.823   53  122 222794.755 225213.295  1.09%  76.7  430s
  3626  1276 224789.685   28  143 222794.755 225212.274  1.09%  76.9  435s
  3665  1308 224415.468   31  142 222794.755 225208.715  1.08%  77.5  440s
  3690  1333 223647.362   37  122 222794.755 225208.715  1.08%  78.1  445s
  3737  1360 223501.483   40  131 222794.755 225206.848  1.08%  78.3  450s
H 3759  1350                    222810.98932 225204.107  1.07%  78.4  456s
  3794  1377 224543.486   34  143 222810.989 225203.474  1.07%  78.5  460s
  3829  1403 223568.768   41  139 222810.989 225199.708  1.07%  78.7  465s
  3873  1417 223620.761   40  131 222810.989 225198.146  1.07%  79.0  470s
  3905  1433 223763.720   39  128 222810.989 225195.240  1.07%  79.1  475s
  3935  1453 224614.946   33  151 222810.989 225183.480  1.06%  79.5  480s
H 3940  1432                    222837.98493 225183.480  1.05%  79.6  487s
  3941  1435 224353.364   37  142 222837.985 225183.480  1.05%  79.6  491s
  3970  1464 223285.146   51  114 222837.985 225183.480  1.05%  79.8  495s
  4004  1490 223314.785   41  119 222837.985 225181.421  1.05%  80.2  500s
  4036  1510 223157.257   45  100 222837.985 225177.446  1.05%  80.4  505s
  4070  1536 223191.549   46  127 222837.985 225174.274  1.05%  80.6  510s
  4111  1554 222857.762   44  114 222837.985 225172.556  1.05%  80.7  515s
  4132  1572 223896.125   34  127 222837.985 225168.031  1.05%  81.2  520s
  4164  1596 225000.201   26  150 222837.985 225126.051  1.03%  81.6  525s
  4182  1614 224686.013   31  144 222837.985 225126.051  1.03%  82.0  530s
  4208  1640 223257.537   44  110 222837.985 225126.051  1.03%  82.3  535s
  4245  1655 223913.981   39  137 222837.985 225125.048  1.03%  82.4  540s
  4276  1679 223359.586   43  116 222837.985 225114.312  1.02%  82.6  545s
  4307  1703 223376.365   47  105 222837.985 225114.253  1.02%  82.9  550s
  4350  1727 224678.478   28  147 222837.985 225107.436  1.02%  83.1  555s
H 4356  1721                    222849.06436 225107.436  1.01%  83.2  566s
  4387  1754 223229.805   42  103 222849.064 225107.436  1.01%  83.5  570s
  4435  1779 225088.977   26  156 222849.064 225096.743  1.01%  83.8  575s
  4475  1807 225022.020   26  151 222849.064 225095.824  1.01%  83.9  580s
  4500  1822 225006.896   25  149 222849.064 225095.705  1.01%  84.1  588s
  4515  1837 224048.016   40  119 222849.064 225095.705  1.01%  84.1  590s
  4555  1865 223357.712   41  102 222849.064 225091.073  1.01%  84.2  595s
  4605  1899 224923.274   29  147 222849.064 225083.547  1.00%  84.3  600s
  4645  1931 224173.177   31  136 222849.064 225081.979  1.00%  84.6  605s
  4677  1963 223051.436   43  100 222849.064 225081.979  1.00%  84.9  610s
  4732  1994 222882.579   59   96 222849.064 225074.767  1.00%  85.0  615s
  4778  2011 224315.563   32  146 222849.064 225067.944  1.00%  85.1  620s
  4808  2041 222947.993   44  110 222849.064 225067.944  1.00%  85.2  625s
  4847  2066 223007.762   54   90 222849.064 225067.917  1.00%  85.3  630s
  4873  2081 224269.241   34  127 222849.064 225067.667  1.00%  85.5  635s
  4916  2123 223115.421   56   91 222849.064 225067.667  1.00%  85.7  640s
  4957  2150 223752.727   50  134 222849.064 225066.888  1.00%  85.8  645s
  4988  2172 223341.871   43  114 222849.064 225066.451  1.00%  86.0  650s
  5018  2190 223629.633   41  138 222849.064 225066.014  0.99%  86.1  661s
  5030  2202 222987.064   53  130 222849.064 225066.014  0.99%  86.1  667s
  5045  2209 224478.583   36  140 222849.064 225065.218  0.99%  86.3  670s
  5077  2233 224423.313   38  133 222849.064 225062.242  0.99%  86.4  675s
  5115  2263 224192.116   39  135 222849.064 225058.714  0.99%  86.4  680s
  5148  2287 224305.723   40  146 222849.064 225058.708  0.99%  86.5  685s
  5183  2310 224510.345   32  145 222849.064 225058.658  0.99%  86.7  690s
  5213  2340 223152.746   42  113 222849.064 225058.658  0.99%  87.1  695s
  5250  2365 223858.978   45  122 222849.064 225051.650  0.99%  87.3  700s
  5282  2390 224932.287   27  153 222849.064 225049.773  0.99%  87.6  705s
  5316  2413 224683.772   29  148 222849.064 225046.219  0.99%  87.7  710s
  5348  2437 224857.004   31  145 222849.064 225045.566  0.99%  87.8  715s
  5378  2456 224881.676   25  159 222849.064 225041.270  0.98%  88.1  720s
  5412  2483 224446.405   26  145 222849.064 225037.462  0.98%  88.3  728s
  5423  2494 223823.474   37  138 222849.064 225037.462  0.98%  88.3  734s
  5425  2496 223643.816   39  130 222849.064 225037.462  0.98%  88.3  735s
  5461  2524 223629.610   45  127 222849.064 225037.032  0.98%  88.5  740s
  5507  2558 223146.968   55  122 222849.064 225035.541  0.98%  88.4  745s
  5541  2579 223525.078   50  140 222849.064 225034.445  0.98%  88.5  750s
  5575  2605 223271.296   50  127 222849.064 225021.475  0.97%  88.6  755s
  5605  2627 224364.215   37  126 222849.064 225020.055  0.97%  88.9  760s
  5616  2638 223574.492   42  106 222849.064 225020.055  0.97%  89.0  767s
  5645  2666 223020.359   57   82 222849.064 225020.055  0.97%  88.9  770s
  5691  2677 224438.840   33  132 222849.064 225018.229  0.97%  88.9  775s
  5740  2717 224722.687   28  137 222849.064 225014.561  0.97%  88.8  780s
  5767  2744 223636.757   38  110 222849.064 225014.561  0.97%  89.1  785s
  5823  2785 223520.145   49  128 222849.064 225012.816  0.97%  89.3  790s
  5871  2815 224904.813   31  159 222849.064 225011.855  0.97%  89.6  795s
  5910  2838 224742.767   28  143 222849.064 225011.137  0.97%  89.6  800s
  5938  2858 224711.326   24  150 222849.064 225008.258  0.97%  89.7  805s
  5959  2879 222935.930   45  123 222849.064 225008.258  0.97%  89.6  816s
  5968  2878 224816.281   25  155 222849.064 225004.953  0.97%  89.7  823s
  5977  2887 224095.600   34  134 222849.064 225004.953  0.97%  89.7  825s
  6012  2914 223899.421   41  131 222849.064 225001.533  0.97%  89.7  831s
  6036  2924 224718.838   28  137 222849.064 225001.517  0.97%  89.7  835s
  6076  2956 223974.390   35  120 222849.064 225000.189  0.97%  89.7  840s
  6103  2974 224252.131   30  136 222849.064 225000.092  0.97%  90.0  845s
  6135  3006 223248.291   45  116 222849.064 225000.092  0.97%  90.1  850s
  6177  3034 222881.406   51  119 222849.064 224999.457  0.96%  90.2  855s
  6214  3058 223035.917   53  116 222849.064 224997.670  0.96%  90.2  860s
  6253  3076 224333.898   31  143 222849.064 224994.435  0.96%  90.3  865s
  6280  3095 224160.882   34  134 222849.064 224989.587  0.96%  90.4  870s
  6315  3121 224115.717   40  129 222849.064 224988.811  0.96%  90.4  875s
  6343  3138 224448.391   34  135 222849.064 224986.465  0.96%  90.6  880s
  6378  3172 223215.445   51   98 222849.064 224986.465  0.96%  90.8  885s
  6418  3201 223118.778   55  110 222849.064 224985.888  0.96%  90.9  890s
  6457  3219 224708.640   27  144 222849.064 224984.241  0.96%  91.0  895s
  6461  3223 224380.363   31  133 222849.064 224984.241  0.96%  91.1  900s
  6511  3257 223989.779   35  129 222849.064 224983.390  0.96%  91.0  905s
  6551  3297 223370.868   42  119 222849.064 224983.390  0.96%  91.0  910s
  6600  3316 224683.063   32  144 222849.064 224981.138  0.96%  90.9  915s
  6602  3318 224531.280   34  144 222849.064 224981.138  0.96%  90.9  921s
  6622  3338 223143.255   54  127 222849.064 224981.138  0.96%  90.9  925s
  6668  3362 224389.446   31  138 222849.064 224978.958  0.96%  91.1  930s
  6695  3379 224563.772   35  135 222849.064 224978.175  0.96%  91.2  935s
  6723  3399 223815.853   36  118 222849.064 224976.999  0.95%  91.4  940s
  6733  3409 223422.785   40  111 222849.064 224976.999  0.95%  91.4  945s
  6779  3439 223179.634   49   76 222849.064 224973.890  0.95%  91.4  950s
  6824  3471 222853.574   55  123 222849.064 224973.658  0.95%  91.3  955s
  6861  3492     cutoff   56      222849.064 224973.280  0.95%  91.3  960s
  6898  3511 224489.827   33  152 222849.064 224969.577  0.95%  91.5  965s
  6931  3536 224336.455   35  133 222849.064 224969.111  0.95%  91.5  970s
  6981  3578 224140.890   34  142 222849.064 224966.171  0.95%  91.8  975s
  7010  3598 224188.614   36  130 222849.064 224965.570  0.95%  91.8  980s
  7038  3617 223995.277   39  136 222849.064 224964.142  0.95%  91.9  985s
  7051  3630 222964.693   52  117 222849.064 224964.142  0.95%  91.9  990s
  7072  3639 223991.080   38  131 222849.064 224963.721  0.95%  92.1  995s
  7105  3670     cutoff   54      222849.064 224963.721  0.95%  92.3 1000s
  7137  3687 224468.752   34  151 222849.064 224963.280  0.95%  92.4 1005s
  7168  3708 223825.566   31  119 222849.064 224963.008  0.95%  92.5 1010s
  7204  3730 224552.750   33  145 222849.064 224958.273  0.95%  92.5 1015s
  7233  3749 224556.297   30  151 222849.064 224955.738  0.95%  92.6 1020s
  7274  3780 224145.606   36  131 222849.064 224950.720  0.94%  92.6 1025s
  7287  3793 223108.966   49  112 222849.064 224950.720  0.94%  92.6 1031s
  7320  3815 223659.692   44   95 222849.064 224950.027  0.94%  92.7 1035s
  7354  3833 224329.846   32  150 222849.064 224949.527  0.94%  92.7 1040s
  7403  3848     cutoff   51      222849.064 224949.527  0.94%  92.6 1045s
