    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2462  1303 247406.438   35  118 245300.657 248458.839  1.29%   103  230s
  2491  1332 246680.816   43   91 245300.657 248458.839  1.29%   104  235s
  2532  1373 245759.865   61   77 245300.657 248458.839  1.29%   104  240s
  2571  1404 247703.931   30  127 245300.657 248458.381  1.29%   104  245s
  2593  1426 246988.326   46  102 245300.657 248458.381  1.29%   105  250s
  2637  1468 245738.526   73   68 245300.657 248458.381  1.29%   105  255s
  2685  1504 247499.352   26  126 245300.657 248429.626  1.28%   105  260s
  2704  1523 246921.920   43  102 245300.657 248429.626  1.28%   105  265s
  2743  1562 245917.413   59   82 245300.657 248429.626  1.28%   106  270s
  2784  1595 247491.206   31  124 245300.657 248429.069  1.28%   106  275s
  2818  1629 246576.557   54   92 245300.657 248429.069  1.28%   107  280s
  2888  1688 247782.088   21  140 245300.657 248300.066  1.22%   106  285s
  2918  1718 246994.746   36  125 245300.657 248300.066  1.22%   107  290s
H 2933  1717                    245322.99844 248300.066  1.21%   108  292s
  2951  1737 246101.165   51   94 245322.998 248300.066  1.21%   108  295s
  3001  1780 247518.622   28  131 245322.998 248299.472  1.21%   108  300s
  3053  1832 246233.178   57   98 245322.998 248299.472  1.21%   109  305s
  3101  1872 247695.103   22  128 245322.998 248299.445  1.21%   109  310s
  3158  1921 247798.590   19  138 245322.998 248292.041  1.21%   109  315s
  3184  1947 246679.830   45  106 245322.998 248292.041  1.21%   109  320s
  3227  1982 247563.835   25  135 245322.998 248257.898  1.20%   109  325s
  3252  2007 246786.592   37  115 245322.998 248257.898  1.20%   110  330s
  3284  2039 246190.658   53   91 245322.998 248257.898  1.20%   111  335s
  3325  2070 247792.345   25  139 245322.998 248256.367  1.20%   111  340s
  3351  2096 246256.039   51  108 245322.998 248256.367  1.20%   111  345s
  3388  2125 247355.699   31  122 245322.998 248182.173  1.17%   111  350s
  3426  2155 247903.816   28  126 245322.998 248181.225  1.17%   111  357s
  3434  2163 247456.167   32  123 245322.998 248181.225  1.17%   112  360s
  3475  2204 246363.848   50   94 245322.998 248181.225  1.17%   112  365s
  3549  2265 246965.611   40  114 245322.998 248142.225  1.15%   112  370s
  3591  2295 248012.313   19  150 245322.998 248142.182  1.15%   112  378s
  3595  2299 247704.853   23  145 245322.998 248142.182  1.15%   112  380s
  3615  2319 246538.077   43  117 245322.998 248142.182  1.15%   112  385s
  3649  2343 247860.782   19  143 245322.998 248108.908  1.14%   112  393s
  3654  2348 247376.301   24  130 245322.998 248108.908  1.14%   113  395s
  3698  2384 247874.250   19  140 245322.998 248108.908  1.14%   113  403s
  3701  2387 247297.284   21  131 245322.998 248108.908  1.14%   113  405s
  3711  2397 247071.294   25  126 245322.998 248108.908  1.14%   113  410s
  3762  2420 247790.195   19  148 245322.998 248103.522  1.13%   114  415s
  3792  2450 246069.663   49  104 245322.998 248103.522  1.13%   114  420s
  3822  2471 247080.931   30  129 245322.998 248103.436  1.13%   114  425s
  3865  2507 247829.881   21  150 245322.998 248101.068  1.13%   114  433s
  3869  2511 247598.910   25  141 245322.998 248101.068  1.13%   115  435s
  3904  2546 245818.135   60  109 245322.998 248101.068  1.13%   115  440s
  3933  2567 246921.109   40  113 245322.998 248100.453  1.13%   115  446s
  3985  2611     cutoff   87      245322.998 248100.453  1.13%   115  450s
  4008  2622 246768.380   41  111 245322.998 248099.860  1.13%   115  456s
  4044  2650 247793.937   22  149 245322.998 248099.816  1.13%   115  461s
  4058  2664 246794.639   36  124 245322.998 248099.816  1.13%   115  465s
  4070  2676 246124.352   48  111 245322.998 248099.816  1.13%   116  471s
  4102  2692 247697.269   24  142 245322.998 248081.500  1.12%   116  475s
  4122  2712 247114.997   36  123 245322.998 248081.500  1.12%   116  480s
  4152  2742 246295.266   49  112 245322.998 248081.500  1.12%   117  485s
  4185  2775 245707.490   72   73 245322.998 248081.500  1.12%   117  490s
  4221  2797 247655.076   20  140 245322.998 248081.500  1.12%   117  495s
  4243  2819 246411.213   42  120 245322.998 248081.500  1.12%   117  500s
  4274  2842 247729.175   18  147 245322.998 248080.154  1.12%   117  505s
  4294  2862 246493.800   38  122 245322.998 248080.154  1.12%   117  510s
  4330  2885 247753.758   19  143 245322.998 248080.154  1.12%   117  515s
  4347  2902 246780.691   36  118 245322.998 248080.154  1.12%   118  520s
  4385  2940 245440.110   74   81 245322.998 248080.154  1.12%   117  525s
  4407  2955 246821.108   33  127 245322.998 248065.301  1.12%   118  530s
  4452  2986 247740.650   20  154 245322.998 248063.987  1.12%   118  535s
  4476  3010 246888.420   32  125 245322.998 248063.987  1.12%   118  540s
  4508  3042 246424.756   48  116 245322.998 248063.987  1.12%   119  545s
H 4510  2995                    245380.26131 248063.987  1.09%   119  546s
  4540  3027 245825.714   64   78 245380.261 248063.987  1.09%   119  550s
  4604  3071 246845.353   30  120 245380.261 248063.826  1.09%   119  555s
  4653  3102 247530.291   23  148 245380.261 248063.264  1.09%   119  560s
  4683  3132 245911.291   53  114 245380.261 248063.264  1.09%   119  565s
  4705  3142 247415.959   25  134 245380.261 248050.841  1.09%   119  570s
H 4726  3010                    245493.28581 248050.841  1.04%   119  574s
  4727  3013 245667.996   46  115 245493.286 248050.841  1.04%   119  575s
  4752  3031 246769.096   34  112 245493.286 248050.671  1.04%   120  580s
  4796  3067 247819.131   19  147 245493.286 248049.325  1.04%   119  586s
  4827  3098 245619.857   50  100 245493.286 248049.325  1.04%   120  590s
  4863  3124 246638.661   38  117 245493.286 248048.409  1.04%   120  595s
  4890  3151 246068.623   55   98 245493.286 248048.409  1.04%   121  600s
  4930  3181 247064.739   32  124 245493.286 248047.756  1.04%   121  605s
  4954  3205 245919.387   56   93 245493.286 248047.756  1.04%   121  610s
  4985  3228 246435.933   38  111 245493.286 248035.400  1.04%   121  615s
  5013  3246 247723.961   18  155 245493.286 248035.309  1.04%   121  620s
  5029  3262 246568.657   34  125 245493.286 248035.309  1.04%   121  625s
  5068  3287 247127.618   26  135 245493.286 248034.815  1.04%   121  630s
  5104  3322 245551.537   62   99 245493.286 248034.815  1.04%   121  635s
