Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1200 columns and 800 nonzeros
Model fingerprint: 0xabfd814d
Variable types: 800 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -7.96256e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1200 columns, 0 nonzeros
Variable types: 800 continuous, 400 integer (400 binary)
Found heuristic solution: objective -7.96256e+14

Root relaxation: objective 3.324425e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1905   993 159700.759   17  124 158798.426 159986.918  0.75%   113  460s
  1973  1027 159603.317   21  122 158798.426 159934.298  0.72%   112  465s
  2035  1074 159199.264   32   87 158798.426 159932.301  0.71%   112  470s
  2068  1096 159685.712   17  122 158798.426 159931.893  0.71%   111  475s
H 2095  1104                    158808.50183 159929.860  0.71%   111  479s
  2111  1108 159640.818   18  132 158808.502 159927.489  0.70%   111  480s
  2138  1119 159816.666   16  144 158808.502 159926.916  0.70%   111  486s
  2155  1128 159848.106   16  131 158808.502 159926.716  0.70%   112  491s
  2174  1147 159315.107   26  118 158808.502 159926.716  0.70%   113  495s
H 2176  1145                    158816.13335 159926.716  0.70%   113  497s
  2198  1167 158980.999   38   89 158816.133 159926.716  0.70%   113  500s
  2227  1176 159363.594   19  116 158816.133 159926.393  0.70%   113  505s
  2253  1189 159710.694   16  140 158816.133 159915.683  0.69%   113  510s
  2279  1206 159032.974   20  114 158816.133 159910.309  0.69%   114  515s
  2292  1209 159503.118   19  130 158816.133 159907.593  0.69%   114  520s
  2325  1222 159687.944   22  112 158816.133 159904.289  0.69%   114  525s
  2350  1246 158966.840   37   90 158816.133 159904.289  0.69%   114  530s
  2380  1263 158839.117   33   96 158816.133 159901.403  0.68%   114  535s
  2401  1266 159690.773   18  118 158816.133 159893.537  0.68%   113  540s
H 2423  1282                    158828.36535 159893.537  0.67%   113  542s
  2437  1288 159102.579   22  111 158828.365 159892.770  0.67%   113  545s
  2479  1305 159443.713   19  140 158828.365 159892.112  0.67%   113  550s
  2502  1320 159228.152   21  135 158828.365 159889.809  0.67%   113  555s
  2543  1341 159239.659   24  104 158828.365 159878.005  0.66%   113  560s
  2572  1362     cutoff   34      158828.365 159878.005  0.66%   113  565s
  2631  1370 159563.710   20  125 158828.365 159875.927  0.66%   113  570s
  2687  1412 158917.532   35  103 158828.365 159871.479  0.66%   113  575s
  2746  1447 158871.492   35   83 158828.365 159870.234  0.66%   113  580s
  2774  1453 159751.269   13  134 158828.365 159866.066  0.65%   113  586s
  2796  1467 159391.027   20  137 158828.365 159865.993  0.65%   114  590s
  2845  1482 159457.474   17  134 158828.365 159860.438  0.65%   114  595s
  2878  1503 158898.776   29  128 158828.365 159860.365  0.65%   114  600s
  2910  1515 159608.713   15  142 158828.365 159860.178  0.65%   114  605s
  2945  1540     cutoff   26      158828.365 159858.984  0.65%   115  610s
  2981  1548 159480.211   16  128 158828.365 159850.992  0.64%   115  615s
  3009  1566 158864.032   34  118 158828.365 159850.464  0.64%   115  620s
  3036  1573 159302.515   20  116 158828.365 159841.250  0.64%   115  625s
  3084  1604     cutoff   27      158828.365 159831.005  0.63%   115  630s
  3147  1643 159519.652   25  108 158828.365 159824.592  0.63%   115  635s
  3211  1680 159523.672   18  135 158828.365 159824.219  0.63%   115  640s
  3250  1701 159207.471   25  120 158828.365 159822.846  0.63%   115  645s
  3290  1722 158832.694   29   96 158828.365 159820.681  0.62%   115  650s
  3325  1738 159740.062   17  148 158828.365 159812.373  0.62%   115  655s
  3371  1768 158835.046   30   98 158828.365 159812.358  0.62%   115  660s
H 3404  1772                    158835.99686 159811.328  0.61%   114  663s
