    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2885  1514 224184.878   51  119 223334.798 225699.300  1.06%  87.9  240s
  2907  1535 223433.863   63  101 223334.798 225699.300  1.06%  88.3  245s
  2967  1570 224356.713   42  123 223334.798 225686.769  1.05%  88.7  250s
  3009  1602 225251.643   38  148 223334.798 225686.550  1.05%  89.3  255s
  3043  1636 224060.127   59  111 223334.798 225686.550  1.05%  89.4  265s
  3090  1671 225358.695   27  168 223334.798 225683.599  1.05%  89.9  270s
  3152  1724 224628.807   46  142 223334.798 225683.246  1.05%  90.1  275s
  3224  1771 225342.817   27  168 223334.798 225648.748  1.04%  90.9  280s
  3312  1845 225296.030   30  164 223334.798 225638.145  1.03%  91.6  285s
  3396  1910 224470.218   43  136 223334.798 225632.574  1.03%  91.7  290s
  3498  1951 223409.620   63  119 223334.798 225632.341  1.03%  91.3  295s
  3563  2003 224715.202   46  138 223334.798 225628.627  1.03%  91.6  300s
  3653  2065 225467.909   28  165 223334.798 225621.383  1.02%  91.8  305s
  3710  2113 225311.265   29  154 223334.798 225619.148  1.02%  91.8  310s
  3792  2186 223359.856   64  122 223334.798 225615.461  1.02%  91.9  315s
  3847  2223 225112.011   32  147 223334.798 225600.657  1.01%  92.2  320s
  3938  2303 224948.117   32  143 223334.798 225600.050  1.01%  92.9  325s
  4025  2370 223466.998   67  106 223334.798 225599.814  1.01%  93.4  330s
  4085  2416 224356.109   44  118 223334.798 225581.571  1.01%  93.6  335s
  4170  2482 225015.884   38  145 223334.798 225575.629  1.00%  93.6  340s
  4286  2577 225237.050   26  170 223334.798 225570.965  1.00%  93.8  345s
  4385  2634     cutoff   56      223334.798 225568.421  1.00%  93.6  350s
  4450  2685 223799.819   51   98 223334.798 225565.858  1.00%  94.0  355s
  4514  2728 225243.682   29  155 223334.798 225563.166  1.00%  94.2  360s
  4586  2792 223672.452   45  109 223334.798 225550.231  0.99%  94.5  365s
  4669  2832 225154.648   37  159 223334.798 225548.587  0.99%  94.4  371s
  4690  2853 223900.987   58  138 223334.798 225548.587  0.99%  94.5  375s
  4768  2911 224332.203   44  125 223334.798 225547.008  0.99%  94.8  380s
  4828  2952 224184.539   48  133 223334.798 225542.891  0.99%  95.5  385s
  4911  3020 223436.235   71  113 223334.798 225542.453  0.99%  95.6  390s
  4971  3059 224788.079   40  129 223334.798 225536.218  0.99%  95.9  395s
  4986  3074 223969.094   55  120 223334.798 225536.218  0.99%  95.9  400s
  5044  3110 223925.370   48  126 223334.798 225532.393  0.98%  96.0  407s
  5110  3153 225108.656   29  157 223334.798 225518.382  0.98%  96.2  410s
  5210  3240 223496.007   55   85 223334.798 225515.501  0.98%  96.4  415s
  5313  3308 224842.361   42  139 223334.798 225502.324  0.97%  96.6  420s
  5403  3377 224771.862   43  140 223334.798 225499.859  0.97%  96.9  425s
  5497  3452 224145.095   53  133 223334.798 225495.445  0.97%  96.9  430s
  5572  3508 224842.508   45  125 223334.798 225493.769  0.97%  96.9  435s
  5639  3555 225349.647   30  158 223334.798 225485.972  0.96%  97.0  440s
  5662  3578 224910.604   42  137 223334.798 225485.972  0.96%  97.3  445s
  5709  3625 223762.458   65   95 223334.798 225485.972  0.96%  97.6  450s
  5817  3702 223837.265   47  126 223334.798 225481.526  0.96%  97.7  455s
  5897  3758 225254.836   29  160 223334.798 225480.103  0.96%  97.7  460s
  5968  3819 223350.590   61  124 223334.798 225480.005  0.96%  97.7  465s
  5994  3829 224878.586   43  148 223334.798 225469.114  0.96%  97.8  470s
  6087  3897 225239.162   32  154 223334.798 225466.960  0.95%  97.6  475s
  6177  3967 225206.266   33  153 223334.798 225462.960  0.95%  97.6  480s
  6223  4003 225148.415   31  150 223334.798 225462.547  0.95%  97.6  486s
  6279  4045 224431.958   46  130 223334.798 225461.439  0.95%  97.9  490s
  6384  4135 224933.303   38  137 223334.798 225460.487  0.95%  97.9  495s
  6492  4222 224100.062   49  127 223334.798 225455.869  0.95%  97.9  500s
  6594  4293 225211.899   32  155 223334.798 225450.742  0.95%  97.8  505s
  6691  4374 224563.310   46  146 223334.798 225450.401  0.95%  98.3  510s
  6782  4439     cutoff   63      223334.798 225444.132  0.94%  98.4  515s
  6853  4510 223712.825   61   99 223334.798 225443.121  0.94%  98.7  520s
  6909  4541 225321.523   30  162 223334.798 225442.395  0.94%  98.6  525s
  6979  4603 223750.381   61  105 223334.798 225441.470  0.94%  98.8  530s
  6993  4607 225245.856   31  157 223334.798 225441.172  0.94%  98.8  535s
  7043  4646 225136.030   32  159 223334.798 225440.451  0.94%  98.8  540s
  7118  4706 224285.311   41  126 223334.798 225436.511  0.94%  98.9  545s
  7194  4759 224293.773   50  132 223334.798 225435.975  0.94%  99.1  550s
H 7226  4774                    223343.28777 225434.190  0.94%  99.1  555s
  7285  4819 225179.513   33  167 223343.288 225433.731  0.94%  99.2  560s
  7356  4882 223744.426   59  109 223343.288 225433.312  0.94%  99.3  565s
  7426  4931 224053.149   52  124 223343.288 225432.551  0.94%   100  570s
  7517  4997 223478.868   61  105 223343.288 225428.149  0.93%   100  575s
  7618  5067 225070.665   32  153 223343.288 225425.172  0.93%   100  580s
  7720  5145 223978.304   55  126 223343.288 225421.729  0.93%   100  585s
  7816  5220 224211.989   57  116 223343.288 225420.096  0.93%   100  590s
  7876  5268 224287.074   46  138 223343.288 225419.782  0.93%   100  597s
  7944  5325 224321.419   53  133 223343.288 225418.566  0.93%   100  600s
  8050  5387 224584.111   44  147 223343.288 225416.083  0.93%   100  605s
  8147  5458 224293.885   51  124 223343.288 225414.321  0.93%   100  610s
  8224  5515 224125.045   52  139 223343.288 225413.804  0.93%   100  615s
  8303  5566 224576.890   34  142 223343.288 225409.789  0.93%   100  620s
  8385  5624 223625.187   56  107 223343.288 225407.415  0.92%   100  625s
  8491  5710 224901.246   36  141 223343.288 225404.748  0.92%   100  630s
  8574  5777 225082.459   36  156 223343.288 225404.128  0.92%   100  635s
H 8588  5759                    223364.29243 225404.128  0.91%   100  638s
  8619  5780 225179.235   33  162 223364.292 225402.988  0.91%   100  640s
  8685  5839 224049.010   56  127 223364.292 225401.182  0.91%   100  646s
  8734  5868 224457.882   40  136 223364.292 225397.590  0.91%   101  650s
  8821  5933 223592.866   56  125 223364.292 225395.628  0.91%   101  655s
  8917  6007 224048.969   58  106 223364.292 225390.283  0.91%   101  660s
  9003  6071 224868.894   37  133 223364.292 225384.269  0.90%   101  665s
  9081  6113 224346.831   48  142 223364.292 225384.218  0.90%   101  672s
  9125  6143 224276.107   46  123 223364.292 225384.198  0.90%   101  675s
  9215  6213 224080.553   53  131 223364.292 225383.366  0.90%   101  680s
  9255  6245 223877.888   54  136 223364.292 225382.973  0.90%   101  685s
  9339  6303 224091.641   52  127 223364.292 225381.352  0.90%   101  690s
  9443  6372 224353.683   52  123 223364.292 225381.207  0.90%   101  695s
  9553  6456 224563.927   39  131 223364.292 225379.679  0.90%   101  700s
  9646  6533 223495.364   66  106 223364.292 225379.524  0.90%   101  705s
  9722  6591 223506.471   62  112 223364.292 225378.906  0.90%   102  713s
  9743  6602 224700.290   44  136 223364.292 225378.685  0.90%   102  715s
  9843  6679 224188.889   55  133 223364.292 225375.297  0.90%   102  720s
  9944  6755 223740.592   62  120 223364.292 225374.805  0.90%   101  725s
 10041  6834 225148.193   35  161 223364.292 225374.638  0.90%   102  730s
 10087  6870 224769.040   35  142 223364.292 225373.710  0.90%   102  735s
 10207  6927 225111.785   35  152 223364.292 225372.992  0.90%   101  740s
 10282  6994 223958.331   58  131 223364.292 225372.967  0.90%   102  745s
 10370  7064 225036.674   33  157 223364.292 225372.679  0.90%   102  750s
 10470  7136 224224.563   50  133 223364.292 225371.751  0.90%   102  755s
 10561  7211 224271.577   54  129 223364.292 225370.437  0.90%   102  760s
 10671  7298 224578.799   45  139 223364.292 225369.523  0.90%   102  765s
 10766  7372 223947.298   64  111 223364.292 225367.790  0.90%   102  770s
 10855  7432 225234.526   31  157 223364.292 225366.403  0.90%   102  775s
 10951  7509 225295.381   29  168 223364.292 225365.334  0.90%   103  780s
 11022  7572 223938.004   57  122 223364.292 225365.022  0.90%   102  785s
