    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

   964   790 250982.061   20  157 232717.452 251129.279  7.91%   100  298s
   966   791 250679.347   21  158 232717.452 251129.279  7.91%   102  300s
   979   800 250628.959   28  139 232717.452 251129.279  7.91%   104  305s
   994   810 250000.078   35  126 232717.452 251129.279  7.91%   106  310s
  1007   819 249351.083   42  115 232717.452 251129.279  7.91%   107  315s
  1038   839 248084.559   57   86 232717.452 251129.279  7.91%   108  320s
  1079   867 246861.531   78   65 232717.452 251129.279  7.91%   108  325s
  1119   893 243649.855   98   48 232717.452 251129.279  7.91%   108  330s
  1161   921 242054.532  119   41 232717.452 251129.279  7.91%   107  335s
  1226   965 239901.610  151    8 232717.452 251129.279  7.91%   105  340s
H 1275   849                    237573.76438 251129.279  5.71%   101  343s
* 1277   738             177    239573.38336 251129.279  4.82%   101  343s
  1287   726 250900.374   20  160 239573.383 250963.154  4.75%   101  350s
  1290   728 250458.514   22  152 239573.383 250963.154  4.75%   102  355s
  1297   733 250691.049   25  156 239573.383 250963.154  4.75%   103  360s
  1309   741 250488.389   31  144 239573.383 250963.154  4.75%   104  365s
  1319   748 250123.202   36  145 239573.383 250963.154  4.75%   105  370s
  1336   759 249218.060   45  123 239573.383 250963.154  4.75%   106  375s
  1358   774 248168.985   56  104 239573.383 250963.154  4.75%   107  380s
  1386   792 247375.453   70   77 239573.383 250963.154  4.75%   107  385s
  1423   817 245257.666   88   56 239573.383 250963.154  4.75%   107  390s
  1462   843 243655.131  108   48 239573.383 250963.154  4.75%   107  395s
  1531   889 240681.938  142   19 239573.383 250963.154  4.75%   104  400s
H 1584   853                    240492.41692 250963.154  4.35%   102  404s
  1596   843 250636.355   21  165 240492.417 250942.144  4.35%   102  412s
  1600   846 250337.678   23  161 240492.417 250942.144  4.35%   103  415s
  1609   852 250130.007   28  153 240492.417 250942.144  4.35%   104  420s
  1625   863 249510.158   36  135 240492.417 250942.144  4.35%   105  425s
  1640   873 248637.529   43  127 240492.417 250942.144  4.35%   106  430s
