    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4238  2561 245755.934   75  114 244524.444 250695.741  2.52%   136 1430s
  4258  2571     cutoff   89      244524.444 250695.741  2.52%   136 1435s
  4259  2572 249652.914   26  151 244524.444 250690.958  2.52%   136 1442s
  4266  2579 249033.524   33  140 244524.444 250690.958  2.52%   136 1447s
  4271  2584 248169.344   38  125 244524.444 250690.958  2.52%   136 1450s
  4288  2601 246997.848   55  103 244524.444 250690.958  2.52%   136 1455s
  4303  2616 245790.312   70   76 244524.444 250690.958  2.52%   136 1460s
  4334  2624 250558.321   26  160 244524.444 250690.933  2.52%   136 1466s
  4339  2629 249822.046   30  154 244524.444 250690.933  2.52%   136 1470s
  4344  2634 249486.378   32  151 244524.444 250690.933  2.52%   136 1475s
  4348  2638 249356.057   34  148 244524.444 250690.933  2.52%   137 1480s
  4356  2646 248729.913   36  136 244524.444 250690.933  2.52%   137 1485s
  4361  2651 248884.139   37  150 244524.444 250690.933  2.52%   137 1490s
  4367  2657 248555.609   38  144 244524.444 250690.933  2.52%   137 1495s
  4375  2665 248232.489   41  138 244524.444 250690.933  2.52%   138 1500s
  4390  2680 247380.732   49  123 244524.444 250690.933  2.52%   138 1505s
  4400  2690 247242.384   50  129 244524.444 250690.933  2.52%   138 1510s
  4418  2708 246301.527   63  106 244524.444 250690.933  2.52%   138 1515s
  4438  2728 245589.486   73   95 244524.444 250690.933  2.52%   138 1520s
  4474  2750 250372.447   26  157 244524.444 250690.868  2.52%   138 1527s
  4478  2754 249389.392   30  148 244524.444 250690.868  2.52%   138 1530s
  4485  2761 248697.518   37  134 244524.444 250690.868  2.52%   138 1535s
  4497  2773 247049.079   49  123 244524.444 250690.868  2.52%   138 1540s
  4513  2789 245137.393   65   99 244524.444 250690.868  2.52%   138 1545s
  4525  2791 250568.686   30  158 244524.444 250690.665  2.52%   138 1550s
  4531  2797 249376.508   36  152 244524.444 250690.665  2.52%   138 1555s
  4540  2806 248180.073   45  144 244524.444 250690.665  2.52%   138 1560s
  4552  2818 247261.881   57  138 244524.444 250690.665  2.52%   138 1565s
  4563  2829 246256.823   68  125 244524.444 250690.665  2.52%   138 1570s
  4581  2847 244791.177   86  105 244524.444 250690.665  2.52%   138 1575s
  4590  2848 249950.960   31  148 244524.444 250685.609  2.52%   138 1580s
  4598  2856 248707.349   39  137 244524.444 250685.609  2.52%   138 1585s
  4613  2871 246695.097   54  110 244524.444 250685.609  2.52%   138 1590s
  4629  2887 245228.320   70   94 244524.444 250685.609  2.52%   138 1595s
  4639  2890 250576.381   28  158 244524.444 250679.346  2.52%   138 1600s
  4647  2898 249900.988   33  152 244524.444 250679.346  2.52%   138 1606s
  4653  2904 249612.725   33  147 244524.444 250679.346  2.52%   138 1610s
  4660  2911 249236.535   38  139 244524.444 250679.346  2.52%   138 1616s
  4665  2916 249118.375   39  137 244524.444 250679.346  2.52%   139 1640s
  4677  2928 247716.144   46  116 244524.444 250679.346  2.52%   139 1645s
  4691  2942 247063.070   51  107 244524.444 250679.346  2.52%   139 1650s
  4717  2968 245060.375   60   88 244524.444 250679.346  2.52%   139 1655s
  4735  2975 249769.436   23  151 244524.444 250679.339  2.52%   139 1660s
  4748  2988 248046.544   36  128 244524.444 250679.339  2.52%   139 1665s
  4765  3005 246725.806   53  116 244524.444 250679.339  2.52%   139 1670s
  4798  3036     cutoff   86      244524.444 250679.339  2.52%   139 1675s
  4809  3039 249948.255   26  150 244524.444 250655.362  2.51%   139 1680s
  4820  3050 248371.370   37  119 244524.444 250655.362  2.51%   139 1685s
  4838  3068 247131.333   55   87 244524.444 250655.362  2.51%   139 1690s
  4880  3106 244540.155   97   15 244524.444 250655.362  2.51%   138 1695s
  4894  3111 250297.901   28  152 244524.444 250652.348  2.51%   138 1700s
  4905  3122 248874.947   39  139 244524.444 250652.348  2.51%   139 1705s
  4921  3138 246669.409   55  120 244524.444 250652.348  2.51%   139 1710s
  4941  3157 244658.139   75   91 244524.444 250652.348  2.51%   139 1715s
  4947  3157 249798.405   25  152 244524.444 250643.327  2.50%   139 1720s
  4956  3166 249076.140   34  148 244524.444 250643.327  2.50%   139 1725s
  4968  3178 247719.973   46  135 244524.444 250643.327  2.50%   139 1730s
  4982  3192 246457.704   60  121 244524.444 250643.327  2.50%   139 1735s
  4991  3201 245703.830   69  119 244524.444 250643.327  2.50%   139 1741s
  5003  3212 244722.189   81  105 244524.444 250643.327  2.50%   139 1745s
