    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  2670   915 222468.003   31   92 222457.215 223376.411  0.41%   130  235s
  2732   941 222478.193   32   81 222457.215 223371.145  0.41%   131  240s
  2768   960 222799.081   25   96 222457.215 223369.562  0.41%   131  247s
  2801   976 222977.089   29   95 222457.215 223369.395  0.41%   132  250s
  2873  1013     cutoff   34      222457.215 223344.323  0.40%   131  255s
  2925  1035 223162.447   23  111 222457.215 223340.897  0.40%   132  260s
  2979  1056 222516.283   35   91 222457.215 223336.329  0.40%   132  265s
  3050  1076 223018.217   25   99 222457.215 223325.936  0.39%   133  270s
  3122  1109 222534.700   35   87 222457.215 223316.979  0.39%   133  275s
  3185  1113 223107.723   22  112 222457.215 223312.038  0.38%   134  281s
  3232  1140 222459.386   33   86 222457.215 223302.109  0.38%   134  286s
  3290  1163 222468.177   36   79 222457.215 223301.651  0.38%   133  290s
  3358  1193 222973.779   27   93 222457.215 223295.974  0.38%   134  295s
  3435  1232 223177.109   27   98 222457.215 223287.852  0.37%   134  300s
  3482  1258 222550.257   34   95 222457.215 223285.190  0.37%   134  307s
  3500  1269 222786.931   33   96 222457.215 223282.497  0.37%   134  310s
  3563  1295 222745.917   24   98 222457.215 223275.050  0.37%   134  315s
  3649  1325 222808.568   32   85 222457.215 223265.297  0.36%   134  320s
  3732  1359 222468.426   34   78 222457.215 223254.555  0.36%   134  325s
  3796  1373 223016.901   22  107 222457.215 223247.805  0.36%   135  331s
  3848  1403 222462.410   33   89 222457.215 223239.981  0.35%   135  335s
  3894  1421 222849.479   23  103 222457.215 223236.960  0.35%   135  340s
  3959  1456 222633.608   34   83 222457.215 223231.107  0.35%   136  345s
  4037  1488 222690.924   28   98 222457.215 223226.584  0.35%   136  350s
  4105  1509 222687.321   33   91 222457.215 223218.041  0.34%   136  355s
  4171  1537 222542.620   28   96 222457.215 223212.008  0.34%   136  360s
  4191  1542 222610.615   28   90 222457.215 223211.694  0.34%   136  365s
  4270  1567 222807.733   31   87 222457.215 223203.519  0.34%   136  370s
  4341  1591 222862.396   25   98 222457.215 223201.246  0.33%   136  375s
  4409  1611 222883.607   24   96 222457.215 223198.643  0.33%   136  380s
  4494  1644 222696.630   30   85 222457.215 223195.213  0.33%   136  385s
  4543  1657 222678.405   24   98 222457.215 223191.224  0.33%   136  390s
  4580  1661 223145.209   23  107 222457.215 223186.347  0.33%   136  395s
  4652  1691 222845.462   26  103 222457.215 223178.456  0.32%   137  400s
  4725  1706 223028.816   25  101 222457.215 223174.059  0.32%   137  405s
  4800  1728     cutoff   28      222457.215 223170.300  0.32%   137  410s
  4894  1752 222535.182   27   79 222457.215 223168.243  0.32%   137  415s
  4942  1767 222671.187   27   88 222457.215 223163.759  0.32%   137  422s
  4943  1768 222620.329   28   85 222457.215 223163.759  0.32%   137  425s
  4992  1783 222581.401   26   92 222457.215 223162.546  0.32%   138  430s
  5057  1797 222482.408   27   84 222457.215 223162.072  0.32%   138  435s
  5130  1821 222673.265   28   92 222457.215 223155.429  0.31%   138  440s
  5194  1850 222517.239   38   81 222457.215 223155.010  0.31%   138  445s
  5271  1871 222634.411   34   95 222457.215 223152.500  0.31%   138  450s
  5323  1893 222908.165   27   93 222457.215 223150.277  0.31%   138  458s
  5351  1905 222764.903   28   93 222457.215 223149.779  0.31%   139  460s
  5429  1922 222810.216   31   88 222457.215 223143.781  0.31%   138  465s
  5506  1956 222592.198   29  103 222457.215 223140.578  0.31%   139  470s
  5606  1977 222503.934   36   78 222457.215 223132.571  0.30%   138  475s
  5693  2006 222460.436   38   79 222457.215 223128.787  0.30%   138  480s
  5776  2028 222602.399   31   93 222457.215 223124.943  0.30%   138  485s
  5854  2048 222780.927   25   99 222457.215 223119.380  0.30%   139  490s
  5937  2082 222522.344   32   94 222457.215 223115.874  0.30%   139  495s
  5984  2087 222736.904   25   92 222457.215 223115.111  0.30%   139  500s
  6076  2096 222513.293   30   97 222457.215 223113.064  0.29%   139  505s
  6152  2106 222711.245   23   94 222457.215 223110.334  0.29%   139  510s
  6224  2122 222776.777   30   85 222457.215 223107.662  0.29%   139  515s
  6272  2141 222622.670   33   88 222457.215 223103.871  0.29%   139  520s
  6352  2163 222495.123   27   86 222457.215 223101.668  0.29%   139  525s
  6451  2161     cutoff   29      222457.215 223101.168  0.29%   139  530s
  6545  2188     cutoff   35      222457.215 223097.980  0.29%   139  535s
