Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0x2f4a87f5
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-05, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.294161e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1145   605 248382.868   12  171 244974.309 248624.667  1.49%   140  440s
  1150   609 248002.191   15  164 244974.309 248624.667  1.49%   141  445s
  1157   613 247332.721   18  158 244974.309 248624.667  1.49%   142  450s
  1171   623 246678.521   25  120 244974.309 248624.667  1.49%   143  455s
  1190   635 246050.778   35   86 244974.309 248624.667  1.49%   143  460s
  1267   657     cutoff   73      244974.309 248624.667  1.49%   138  465s
  1275   656 248135.126   15  167 244974.309 248622.588  1.49%   138  470s
  1284   662 247359.920   19  157 244974.309 248622.588  1.49%   139  475s
  1294   669 247203.754   24  142 244974.309 248622.588  1.49%   140  480s
  1308   678 246550.068   31  123 244974.309 248622.588  1.49%   140  485s
  1318   685 246486.808   36  119 244974.309 248622.588  1.49%   141  490s
  1330   693 245941.243   42  104 244974.309 248622.588  1.49%   142  495s
  1351   707 245444.599   53   76 244974.309 248622.588  1.49%   142  500s
H 1405   658                    245102.63381 248622.588  1.44%   139  503s
  1408   657 248176.126   13  166 245102.634 248444.396  1.36%   139  506s
  1415   661 247946.517   17  162 245102.634 248444.396  1.36%   140  510s
  1423   667 247431.404   21  153 245102.634 248444.396  1.36%   140  515s
  1434   674 246355.550   26  125 245102.634 248444.396  1.36%   141  520s
  1442   679 246318.837   30  115 245102.634 248444.396  1.36%   142  525s
  1461   692 245818.330   40   85 245102.634 248444.396  1.36%   142  530s
  1510   716 245376.962   65   45 245102.634 248444.396  1.36%   140  535s
* 1532   608              76    245371.99423 248444.396  1.25%   138  535s
  1543   598 248007.291   15  163 245371.994 248444.079  1.25%   138  540s
  1549   602 247791.911   18  161 245371.994 248444.079  1.25%   139  545s
  1553   604 247549.270   20  156 245371.994 248444.079  1.25%   140  550s
  1560   609 247154.516   23  142 245371.994 248444.079  1.25%   140  555s
  1570   616 246600.549   28  132 245371.994 248444.079  1.25%   140  560s
  1583   624 246374.829   35  111 245371.994 248444.079  1.25%   141  565s
  1594   632 245572.084   40  100 245371.994 248444.079  1.25%   141  570s
  1619   637 247913.821   14  159 245371.994 248344.638  1.21%   141  577s
  1623   640 247428.895   18  149 245371.994 248344.638  1.21%   141  580s
  1634   647 246840.721   23  133 245371.994 248344.638  1.21%   142  585s
  1650   658 246158.758   37  106 245371.994 248344.638  1.21%   142  590s
  1677   674 248179.617   14  163 245371.994 248344.588  1.21%   142  601s
  1681   678 247656.160   18  159 245371.994 248344.588  1.21%   142  605s
  1692   689 246979.035   25  135 245371.994 248344.588  1.21%   142  610s
  1708   705 246377.662   33  111 245371.994 248344.588  1.21%   143  615s
  1726   723 245916.479   43   94 245371.994 248344.588  1.21%   143  620s
  1744   734 248004.451   14  159 245371.994 248265.963  1.18%   143  625s
  1757   747 247025.881   23  134 245371.994 248265.963  1.18%   143  630s
  1772   762 246397.099   29  117 245371.994 248265.963  1.18%   143  635s
  1794   784 245459.049   42   80 245371.994 248265.963  1.18%   144  640s
  1811   794 246703.285   25  129 245371.994 248265.950  1.18%   144  645s
  1831   814 245752.633   40   90 245371.994 248265.950  1.18%   145  650s
  1848   821 247842.801   15  154 245371.994 248243.266  1.17%   145  655s
  1860   833 246867.806   24  138 245371.994 248243.266  1.17%   145  660s
  1882   855 245886.499   40  104 245371.994 248243.266  1.17%   145  665s
  1895   864     cutoff   45      245371.994 248243.266  1.17%   146  670s
  1902   863 248098.780   13  164 245371.994 248242.278  1.17%   146  677s
  1904   865 247845.016   14  164 245371.994 248242.278  1.17%   146  680s
  1917   878 247111.114   20  146 245371.994 248242.278  1.17%   147  685s
  1930   891 246389.655   30  122 245371.994 248242.278  1.17%   147  690s
  1947   908 245740.138   39  103 245371.994 248242.278  1.17%   147  695s
  1963   914 247493.928   14  157 245371.994 248240.700  1.17%   147  700s
  1978   929 246457.253   28  131 245371.994 248240.700  1.17%   147  705s
  1998   949 245790.947   36  105 245371.994 248240.700  1.17%   147  710s
  2010   953 247787.927   17  153 245371.994 248239.702  1.17%   148  715s
  2019   962 247018.130   23  134 245371.994 248239.702  1.17%   148  720s
  2031   974 246486.092   29  128 245371.994 248239.702  1.17%   148  725s
  2042   985 246148.180   33  119 245371.994 248239.702  1.17%   148  730s
  2055   998 245726.144   41   97 245371.994 248239.702  1.17%   148  735s
  2076  1004 247670.773   16  150 245371.994 248216.760  1.16%   148  741s
  2086  1014 246748.390   26  140 245371.994 248216.760  1.16%   148  745s
  2106  1034 245547.374   46  108 245371.994 248216.760  1.16%   148  750s
  2114  1034 247982.739   15  166 245371.994 248212.380  1.16%   148  757s
  2116  1036 247659.300   17  158 245371.994 248212.380  1.16%   148  760s
  2131  1051 246462.759   32  124 245371.994 248212.380  1.16%   148  765s
  2152  1066     cutoff   50      245371.994 248212.380  1.16%   148  770s
  2160  1068 247637.589   16  164 245371.994 248193.786  1.15%   148  775s
  2166  1074 247199.804   19  161 245371.994 248193.786  1.15%   148  780s
  2177  1085 246864.469   25  142 245371.994 248193.786  1.15%   149  785s
  2184  1092 246650.718   28  128 245371.994 248193.786  1.15%   149  791s
  2192  1100 246223.105   32  105 245371.994 248193.786  1.15%   150  795s
  2204  1112 245799.389   38   86 245371.994 248193.786  1.15%   150  800s
  2237  1129 247745.979   17  156 245371.994 248187.328  1.15%   149  807s
  2243  1135 247086.817   23  146 245371.994 248187.328  1.15%   149  810s
  2259  1151 245686.157   39  115 245371.994 248187.328  1.15%   149  815s
  2271  1155 247556.490   19  157 245371.994 248186.322  1.15%   149  821s
