    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  4639  2047 182057.595   32  138 181431.334 182249.202  0.45%  79.6  220s
  4731  2089 181469.275   47  106 181431.334 182246.677  0.45%  80.0  225s
  4837  2134 181449.715   37  110 181431.334 182240.041  0.45%  80.1  232s
  4905  2176 181569.259   37  108 181431.334 182238.807  0.45%  80.3  235s
  5003  2203 181540.713   38  112 181431.334 182232.047  0.44%  80.5  240s
  5154  2285 181625.381   43  104 181431.334 182222.951  0.44%  80.5  245s
  5303  2359     cutoff   43      181431.334 182217.280  0.43%  80.6  250s
  5417  2410 181508.218   42  111 181431.334 182212.362  0.43%  80.8  258s
  5446  2423 181509.519   47  104 181431.334 182212.197  0.43%  80.9  260s
  5530  2463 181671.327   36  116 181431.334 182209.133  0.43%  81.0  265s
  5633  2517 181964.555   34  125 181431.334 182207.495  0.43%  81.1  270s
  5775  2594 181903.298   39  118 181431.334 182199.808  0.42%  80.8  275s
  5901  2656 181597.018   39  119 181431.334 182196.203  0.42%  81.0  280s
  6022  2691 182023.534   33  123 181431.334 182190.169  0.42%  81.0  285s
  6165  2763 181637.687   42  105 181431.334 182185.674  0.42%  81.4  290s
  6322  2842 181487.239   41  114 181431.334 182177.801  0.41%  81.3  295s
  6486  2902 181461.372   48   92 181431.334 182171.293  0.41%  81.3  302s
  6582  2943 181431.871   50   95 181431.334 182169.843  0.41%  81.3  305s
  6731  3012 181566.173   42  118 181431.334 182167.821  0.41%  81.2  310s
  6878  3060 182019.717   37  114 181431.334 182165.119  0.40%  81.4  315s
  7014  3110 181797.191   38  104 181431.334 182162.998  0.40%  81.4  320s
  7064  3133 181662.113   45  100 181431.334 182161.672  0.40%  81.5  325s
  7206  3179 182001.762   40  122 181431.334 182159.370  0.40%  81.6  330s
  7312  3232 182026.952   34  111 181431.334 182157.218  0.40%  81.4  335s
  7472  3304 181474.374   42   99 181431.334 182154.156  0.40%  81.4  340s
  7651  3367 181700.038   35  114 181431.334 182149.734  0.40%  81.2  345s
  7718  3398 181799.264   35  125 181431.334 182147.107  0.39%  81.2  350s
  7856  3471 181976.063   39  123 181431.334 182143.618  0.39%  81.2  355s
  8037  3551 181671.325   39  107 181431.334 182141.900  0.39%  81.0  360s
  8185  3624 181602.066   39  107 181431.334 182137.192  0.39%  81.1  365s
  8352  3696 182024.755   33  126 181431.334 182130.579  0.39%  81.0  370s
  8506  3763 181672.374   33  123 181431.334 182128.250  0.38%  81.0  375s
  8567  3774 181824.880   32  128 181431.334 182126.802  0.38%  81.0  381s
  8637  3802 182038.501   33  118 181431.334 182126.064  0.38%  81.1  385s
  8768  3872 181707.882   37  116 181431.334 182120.876  0.38%  81.3  390s
  8883  3913 181469.859   38  118 181431.334 182120.584  0.38%  81.3  395s
  9005  3960 181992.371   34  122 181431.334 182114.005  0.38%  81.4  400s
  9146  4010 181939.716   36  120 181431.334 182110.948  0.37%  81.4  405s
  9285  4077 181675.038   42  109 181431.334 182109.284  0.37%  81.5  410s
  9434  4145 181794.989   36  125 181431.334 182105.057  0.37%  81.4  415s
  9588  4204 181829.765   31  127 181431.334 182101.467  0.37%  81.5  420s
  9693  4264 181589.650   45  108 181431.334 182100.609  0.37%  81.5  425s
  9836  4337 181544.215   39  115 181431.334 182099.425  0.37%  81.6  430s
  9995  4419 181464.702   45  100 181431.334 182097.904  0.37%  81.6  435s
 10145  4469 181902.140   38  119 181431.334 182096.389  0.37%  81.5  440s
 10326  4558 181745.247   43   92 181431.334 182091.938  0.36%  81.4  445s
 10502  4642 181899.485   36  118 181431.334 182088.678  0.36%  81.3  450s
 10665  4714 181954.842   34  125 181431.334 182087.046  0.36%  81.2  455s
 10771  4756 182037.770   34  121 181431.334 182085.756  0.36%  81.3  461s
 10873  4800 181852.490   39  114 181431.334 182084.170  0.36%  81.4  465s
 11024  4862 181969.396   35  114 181431.334 182081.544  0.36%  81.5  470s
 11181  4942 181796.273   35  123 181431.334 182078.952  0.36%  81.4  475s
 11325  5005 181686.120   46  100 181431.334 182076.463  0.36%  81.4  480s
 11474  5060 181642.917   41  102 181431.334 182074.013  0.35%  81.4  485s
 11623  5129 181683.720   41  120 181431.334 182070.999  0.35%  81.5  490s
 11770  5183 181656.512   37  126 181431.334 182067.479  0.35%  81.6  495s
 11945  5242     cutoff   45      181431.334 182065.521  0.35%  81.4  500s
 12095  5300 181669.707   41   98 181431.334 182063.067  0.35%  81.4  505s
 12261  5354 181708.006   43  115 181431.334 182060.231  0.35%  81.3  510s
 12449  5439 181605.265   41  102 181431.334 182057.590  0.35%  81.2  515s
 12597  5488 181542.611   39  113 181431.334 182055.245  0.34%  81.2  520s
 12770  5545 181786.728   34  129 181431.334 182052.942  0.34%  81.1  525s
 12958  5626 181734.533   43  106 181431.334 182050.576  0.34%  80.9  530s
 13109  5678 181709.903   42  102 181431.334 182047.981  0.34%  81.0  535s
 13289  5754 181454.633   51  102 181431.334 182045.489  0.34%  80.9  540s
 13473  5818 181538.956   41  102 181431.334 182042.616  0.34%  80.8  545s
 13624  5875 181743.114   34  117 181431.334 182041.049  0.34%  80.8  550s
 13791  5926 181736.813   45   96 181431.334 182039.319  0.34%  80.7  555s
 13938  5981 181475.227   43  110 181431.334 182037.921  0.33%  80.8  560s
 14114  6030 181940.538   34  119 181431.334 182035.029  0.33%  80.7  565s
 14273  6090 181515.298   38  112 181431.334 182033.139  0.33%  80.7  570s
 14442  6149 181616.949   38  110 181431.334 182030.842  0.33%  80.7  575s
 14613  6192 181760.284   39  108 181431.334 182028.831  0.33%  80.7  581s
 14617  6196 181541.732   43   94 181431.334 182028.831  0.33%  80.7  585s
 14686  6219 181733.742   40  112 181431.334 182027.602  0.33%  80.7  590s
 14851  6280 181759.833   33  129 181431.334 182026.319  0.33%  80.6  595s
 15005  6326 181710.836   41  117 181431.334 182024.439  0.33%  80.6  600s
 15183  6393 181778.141   35  120 181431.334 182021.211  0.33%  80.5  605s
 15346  6439 181632.954   41  111 181431.334 182019.917  0.32%  80.5  610s
 15521  6505 181881.341   38  112 181431.334 182018.063  0.32%  80.5  615s
 15691  6570 181477.266   43   95 181431.334 182017.024  0.32%  80.4  620s
 15837  6625 181503.739   38  116 181431.334 182015.446  0.32%  80.4  625s
 16017  6665 181445.349   45   92 181431.334 182013.400  0.32%  80.3  630s
 16170  6733 181727.541   36  123 181431.334 182010.892  0.32%  80.3  635s
 16325  6784 181598.557   45  103 181431.334 182008.674  0.32%  80.3  640s
 16505  6824 181841.296   36  120 181431.334 182007.527  0.32%  80.2  645s
 16658  6879 181598.272   42  105 181431.334 182006.245  0.32%  80.2  650s
 16845  6922 181432.184   45   89 181431.334 182003.572  0.32%  80.1  655s
 17006  6979 181460.828   47   89 181431.334 182002.303  0.31%  80.1  660s
 17183  7032 181736.498   38  121 181431.334 182000.500  0.31%  80.0  665s
 17341  7078 181954.188   36  130 181431.334 181997.733  0.31%  79.9  670s
 17506  7132 181732.965   42  110 181431.334 181996.334  0.31%  79.9  675s
 17653  7189 181603.036   46  103 181431.334 181994.094  0.31%  80.0  680s
 17810  7257 181571.666   40  115 181431.334 181992.393  0.31%  80.0  685s
 17968  7305 181582.200   39  118 181431.334 181990.610  0.31%  79.9  690s
 18173  7375 181542.282   49   79 181431.334 181989.470  0.31%  79.7  695s
 18366  7441 181710.805   40  108 181431.334 181987.063  0.31%  79.6  700s
 18524  7502 181644.926   41  111 181431.334 181985.343  0.31%  79.6  705s
 18701  7546 181748.289   38  115 181431.334 181984.031  0.30%  79.6  710s
 18853  7584     cutoff   40      181431.334 181982.703  0.30%  79.6  715s
 19048  7657 181591.987   44   94 181431.334 181981.665  0.30%  79.5  720s
 19212  7704 181798.432   41  108 181431.334 181980.192  0.30%  79.5  725s
 19415  7770     cutoff   53      181431.334 181979.467  0.30%  79.3  730s
 19584  7830 181492.635   38  108 181431.334 181977.253  0.30%  79.3  735s
 19759  7883 181661.074   38  111 181431.334 181975.554  0.30%  79.3  740s
 19907  7923 181594.906   43   94 181431.334 181974.594  0.30%  79.3  745s
 20064  7951 181725.611   38  108 181431.334 181973.350  0.30%  79.3  750s
 20215  7998 181762.791   44  104 181431.334 181971.028  0.30%  79.4  755s
 20385  8032 181671.774   40  102 181431.334 181970.177  0.30%  79.4  760s
 20548  8107 181545.712   39  123 181431.334 181967.636  0.30%  79.3  765s
 20719  8160 181471.727   48   91 181431.334 181966.558  0.30%  79.3  770s
 20888  8209 181746.276   40  114 181431.334 181965.436  0.29%  79.2  775s
 21074  8260     cutoff   43      181431.334 181964.567  0.29%  79.2  780s
 21243  8323 181771.502   37  104 181431.334 181963.455  0.29%  79.2  785s
 21422  8366 181485.204   40  123 181431.334 181961.821  0.29%  79.1  790s
 21594  8427 181582.306   36  119 181431.334 181961.217  0.29%  79.1  795s
 21788  8495     cutoff   43      181431.334 181959.636  0.29%  79.0  800s
 21947  8530 181587.510   40  119 181431.334 181957.845  0.29%  79.0  805s
 22147  8598 181603.475   41   99 181431.334 181956.979  0.29%  78.9  810s
 22316  8647 181809.496   35  110 181431.334 181954.774  0.29%  78.8  815s
 22456  8689 181707.213   36  121 181431.334 181953.640  0.29%  78.8  821s
 22564  8722 181570.842   39  117 181431.334 181953.280  0.29%  78.9  825s
 22735  8777 181669.584   40  116 181431.334 181952.124  0.29%  78.8  830s
 22879  8818 181459.525   39  114 181431.334 181951.257  0.29%  78.9  835s
 23043  8866 181524.403   42  104 181431.334 181949.498  0.29%  78.8  840s
 23220  8912 181674.042   39  103 181431.334 181947.801  0.28%  78.8  845s
 23401  8967 181717.473   38  112 181431.334 181946.350  0.28%  78.7  850s
 23585  9032 181476.478   42   95 181431.334 181944.107  0.28%  78.7  855s
 23758  9066 181848.243   36  123 181431.334 181941.941  0.28%  78.6  860s
 23944  9128 181726.307   37  114 181431.334 181940.785  0.28%  78.5  865s
 24131  9159 181522.707   50   85 181431.334 181939.564  0.28%  78.5  870s
 24316  9210 181621.608   43  107 181431.334 181937.910  0.28%  78.5  875s
 24483  9263 181444.808   47   83 181431.334 181936.706  0.28%  78.4  880s
 24675  9302 181439.454   39  104 181431.334 181935.278  0.28%  78.4  885s
 24853  9349 181739.102   39  100 181431.334 181933.501  0.28%  78.4  890s
 25015  9391 181509.861   41  101 181431.334 181931.787  0.28%  78.4  895s
 25188  9419 181636.786   40   97 181431.334 181930.475  0.28%  78.3  900s
 25350  9475 181529.338   48  102 181431.334 181928.934  0.27%  78.3  905s
 25511  9511 181660.839   36  113 181431.334 181928.067  0.27%  78.3  910s
 25690  9567 181614.905   40   95 181431.334 181926.822  0.27%  78.3  915s
 25866  9606     cutoff   45      181431.334 181925.056  0.27%  78.3  920s
 26015  9640 181458.049   52   86 181431.334 181924.091  0.27%  78.3  925s
 26186  9677 181501.016   44  102 181431.334 181923.168  0.27%  78.3  930s
 26365  9728     cutoff   43      181431.334 181921.660  0.27%  78.3  935s
 26523  9774 181597.999   43  112 181431.334 181920.573  0.27%  78.3  940s
 26723  9826     cutoff   49      181431.334 181919.546  0.27%  78.2  945s
 26869  9865 181623.806   41   88 181431.334 181918.371  0.27%  78.2  950s
 27054  9904 181486.113   42  108 181431.334 181917.129  0.27%  78.2  955s
 27225  9943 181443.399   43   88 181431.334 181916.216  0.27%  78.1  960s
 27413  9980     cutoff   40      181431.334 181914.915  0.27%  78.1  965s
 27578 10017 181578.692   39  122 181431.334 181914.159  0.27%  78.1  970s
 27748 10061 181794.076   34  120 181431.334 181912.988  0.27%  78.1  975s
 27915 10112 181622.142   37  111 181431.334 181911.545  0.26%  78.1  980s
 28092 10145 181532.976   40  112 181431.334 181910.351  0.26%  78.0  985s
 28277 10186 181505.425   42  112 181431.334 181909.543  0.26%  78.0  990s
 28466 10223 181723.515   40  102 181431.334 181908.685  0.26%  78.0  995s
 28634 10255 181464.424   40  101 181431.334 181907.315  0.26%  77.9 1000s
 28816 10294 181510.296   48   78 181431.334 181906.228  0.26%  77.9 1005s
 29004 10343 181440.293   43  109 181431.334 181905.503  0.26%  77.8 1010s
 29161 10373 181604.591   35  122 181431.334 181903.965  0.26%  77.8 1015s
