    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1969  1253 225815.297   28  113 220038.842 226473.843  2.92%   112  270s
  1994  1278 224615.420   41   85 220038.842 226473.843  2.92%   113  275s
  2008  1292 223788.217   47   75 220038.842 226473.843  2.92%   113  280s
  2072  1356 221662.994   78   45 220038.842 226473.843  2.92%   113  285s
  2149  1415 226052.790   28  117 220038.842 226464.827  2.92%   111  291s
  2164  1430 225415.073   33  107 220038.842 226464.827  2.92%   112  295s
  2189  1455 224250.582   41   96 220038.842 226464.827  2.92%   114  300s
  2229  1495 222319.468   63   60 220038.842 226464.827  2.92%   114  305s
H 2307  1531                    220279.56107 226464.827  2.81%   113  309s
  2312  1528 226301.536   26  116 220279.561 226461.988  2.81%   113  312s
  2320  1536 225688.472   30  108 220279.561 226461.988  2.81%   114  315s
  2342  1558 224667.661   34   89 220279.561 226461.988  2.81%   115  320s
  2385  1601 223057.671   58   61 220279.561 226461.988  2.81%   115  326s
  2411  1627 221930.452   71   45 220279.561 226461.988  2.81%   115  330s
  2463  1679 220648.356   94   30 220279.561 226461.988  2.81%   114  336s
H 2489  1637                    220452.21915 226461.988  2.73%   113  343s
  2494  1644 225314.209   28  103 220452.219 226306.867  2.66%   114  345s
  2507  1657 224662.591   33   99 220452.219 226306.867  2.66%   115  350s
  2518  1668 224408.758   37   98 220452.219 226306.867  2.66%   116  355s
  2538  1688 223731.115   45   88 220452.219 226306.867  2.66%   116  360s
  2565  1715 222823.458   54   81 220452.219 226306.867  2.66%   116  370s
  2592  1742 221981.929   64   68 220452.219 226306.867  2.66%   117  382s
  2617  1767 221313.232   71   58 220452.219 226306.867  2.66%   117  385s
  2656  1795 226024.460   28  108 220452.219 226306.541  2.66%   117  390s
  2676  1815 224538.278   38   80 220452.219 226306.541  2.66%   118  405s
  2677  1816 224449.751   39   79 220452.219 226306.541  2.66%   118  414s
  2683  1822 224058.789   44   73 220452.219 226306.541  2.66%   118  415s
  2753  1892 221761.796   80   35 220452.219 226306.541  2.66%   118  420s
  2820  1950 225104.330   31   94 220452.219 226273.163  2.64%   117  425s
  2865  1995 223241.257   55   66 220452.219 226273.163  2.64%   117  430s
  2977  2102 220581.892  113   11 220452.219 226273.163  2.64%   115  435s
  3006  2122 224245.441   44   81 220452.219 226269.041  2.64%   116  442s
  3037  2153 223212.553   56   56 220452.219 226269.041  2.64%   116  445s
  3116  2220 225816.070   32  100 220452.219 226254.073  2.63%   115  455s
  3132  2236 223036.386   48   89 220452.219 226254.073  2.63%   115  460s
  3175  2265 225931.410   30  116 220452.219 226254.034  2.63%   115  465s
  3188  2278 223992.001   43  105 220452.219 226254.034  2.63%   115  470s
  3190  2280 223771.881   45  102 220452.219 226254.034  2.63%   115  480s
  3210  2300 221845.774   65   87 220452.219 226254.034  2.63%   115  485s
  3232  2314 224978.005   32   96 220452.219 226252.197  2.63%   116  490s
  3265  2347 223207.248   49   78 220452.219 226252.197  2.63%   116  495s
  3316  2398 220897.144   74   51 220452.219 226252.197  2.63%   116  500s
  3351  2421 224025.909   45   89 220452.219 226251.238  2.63%   117  505s
  3394  2456 225663.343   30  112 220452.219 226227.922  2.62%   116  510s
  3413  2475 223114.059   49   73 220452.219 226227.922  2.62%   117  515s
  3456  2497 225301.793   28  104 220452.219 226225.645  2.62%   116  520s
  3474  2515 224302.916   37   94 220452.219 226225.645  2.62%   117  526s
  3489  2530 223615.345   46   75 220452.219 226225.645  2.62%   117  531s
