    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

 12393  7593 159017.922   65   77 158857.296 160535.221  1.06%  93.1 1045s
 12461  7638 160053.727   34  122 158857.296 160533.022  1.05%  93.1 1050s
 12523  7681 160223.436   38  116 158857.296 160530.639  1.05%  93.2 1055s
 12595  7728 159959.454   41  112 158857.296 160529.276  1.05%  93.1 1060s
 12671  7787 159606.282   46  118 158857.296 160528.628  1.05%  93.2 1065s
 12741  7833 159734.994   44   92 158857.296 160522.194  1.05%  93.1 1070s
 12834  7883 159916.290   35  124 158857.296 160518.764  1.05%  93.0 1075s
 12867  7896     cutoff   51      158857.296 160518.764  1.05%  93.0 1080s
 12936  7947 159248.315   50   73 158857.296 160517.194  1.04%  93.0 1085s
 13011  8006 159137.405   54   92 158857.296 160516.925  1.04%  93.0 1090s
 13092  8057 159334.847   43  108 158857.296 160514.723  1.04%  93.0 1095s
 13155  8099 158869.557   56   85 158857.296 160513.633  1.04%  92.9 1100s
 13218  8136 160173.359   37  114 158857.296 160512.709  1.04%  93.0 1105s
 13295  8183 159857.189   49   93 158857.296 160511.284  1.04%  92.9 1110s
 13374  8247 160042.112   38  116 158857.296 160510.359  1.04%  92.9 1115s
 13446  8293 160393.503   36  130 158857.296 160508.829  1.04%  93.0 1120s
 13511  8334 159971.886   41  109 158857.296 160508.469  1.04%  93.0 1125s
 13566  8369 159808.312   36  118 158857.296 160508.179  1.04%  93.1 1130s
 13630  8424 159914.982   50  113 158857.296 160507.902  1.04%  93.2 1135s
 13702  8448     cutoff   57      158857.296 160507.789  1.04%  93.2 1140s
 13761  8473 159969.179   39  110 158857.296 160507.609  1.04%  93.3 1145s
 13843  8527 160087.919   37  118 158857.296 160506.719  1.04%  93.3 1150s
 13899  8557 159979.690   37  107 158857.296 160506.450  1.04%  93.3 1155s
 13979  8605 160192.944   35  111 158857.296 160505.614  1.04%  93.4 1160s
 14010  8626 160149.181   40  115 158857.296 160505.390  1.04%  93.3 1165s
 14072  8668 159401.247   41  107 158857.296 160504.598  1.04%  93.3 1170s
 14142  8708 159864.301   45  110 158857.296 160500.706  1.03%  93.3 1175s
 14215  8758 160302.406   34  121 158857.296 160499.734  1.03%  93.3 1180s
 14274  8799 159947.729   41  123 158857.296 160498.993  1.03%  93.4 1185s
 14335  8838 159982.473   43  108 158857.296 160494.778  1.03%  93.5 1190s
 14401  8886 159658.930   44  105 158857.296 160492.746  1.03%  93.5 1195s
 14467  8934 159030.400   52  102 158857.296 160492.499  1.03%  93.5 1200s
 14555  8992 160272.762   36  128 158857.296 160491.004  1.03%  93.4 1205s
 14613  9034 160323.987   38  110 158857.296 160488.826  1.03%  93.4 1210s
 14685  9089 159639.821   45  111 158857.296 160487.694  1.03%  93.4 1215s
 14748  9131     cutoff   57      158857.296 160486.319  1.03%  93.4 1220s
 14811  9166 159801.171   41  119 158857.296 160485.176  1.02%  93.5 1225s
 14875  9202 159909.487   45  105 158857.296 160484.688  1.02%  93.5 1230s
 14938  9257 159396.587   47   98 158857.296 160484.615  1.02%  93.6 1235s
 14961  9268 160249.799   38  118 158857.296 160484.397  1.02%  93.7 1240s
 14994  9293 160175.686   40  112 158857.296 160484.154  1.02%  93.6 1281s
 15030  9319 159741.053   43  104 158857.296 160483.684  1.02%  93.6 1286s
 15074  9347 160272.748   42  110 158857.296 160482.663  1.02%  93.6 1290s
 15134  9387 160302.385   38  124 158857.296 160482.084  1.02%  93.6 1295s
 15192  9427 160263.776   40  112 158857.296 160480.924  1.02%  93.6 1300s
 15257  9483 159698.203   47   95 158857.296 160480.597  1.02%  93.7 1305s
 15349  9560 159652.386   46   85 158857.296 160480.245  1.02%  93.7 1310s
 15430  9612 158894.961   58   69 158857.296 160475.997  1.02%  93.6 1315s
 15493  9646 159592.529   44  119 158857.296 160474.649  1.02%  93.6 1320s
 15558  9681 160249.162   38  118 158857.296 160473.052  1.02%  93.6 1325s
 15624  9737 159761.072   50  102 158857.296 160472.984  1.02%  93.7 1330s
 15695  9790 159468.663   46  100 158857.296 160472.169  1.02%  93.8 1335s
 15757  9822 160379.513   39  123 158857.296 160470.676  1.02%  93.8 1340s
 15821  9860 160185.938   42  118 158857.296 160467.966  1.01%  93.8 1345s
 15888  9905 159542.939   48   90 158857.296 160465.593  1.01%  93.8 1350s
 15953  9952 159333.868   48   97 158857.296 160465.251  1.01%  93.7 1355s
 16017  9994 159920.628   37  118 158857.296 160464.705  1.01%  93.8 1360s
 16087 10018 159564.203   51   98 158857.296 160464.472  1.01%  93.8 1365s
 16159 10058 159409.338   51   84 158857.296 160464.094  1.01%  93.7 1370s
 16231 10110 159295.086   54   81 158857.296 160462.514  1.01%  93.8 1375s
 16295 10147     cutoff   56      158857.296 160461.639  1.01%  93.8 1380s
 16364 10184 159895.052   43  109 158857.296 160460.121  1.01%  93.8 1385s
 16438 10234 159326.448   49  104 158857.296 160459.195  1.01%  93.8 1390s
 16500 10271 158870.622   54   87 158857.296 160458.669  1.01%  93.8 1395s
 16571 10320 158970.275   53   97 158857.296 160457.493  1.01%  93.8 1400s
 16644 10361 160247.885   40  115 158857.296 160456.324  1.01%  93.7 1405s
 16705 10400 159747.041   44  104 158857.296 160455.633  1.01%  93.8 1410s
 16785 10454 159290.860   52   93 158857.296 160453.711  1.00%  93.8 1415s
 16865 10480 159929.963   38  112 158857.296 160453.435  1.00%  93.8 1420s
 16932 10522 159479.490   48   84 158857.296 160453.047  1.00%  93.7 1425s
 17003 10572 159763.182   45   91 158857.296 160451.529  1.00%  93.7 1430s
 17055 10606 159589.597   48  105 158857.296 160451.155  1.00%  93.7 1435s
 17137 10661 160323.086   41  107 158857.296 160450.137  1.00%  93.8 1440s
 17214 10709 159869.714   42   90 158857.296 160449.728  1.00%  93.7 1445s
 17284 10763     cutoff   60      158857.296 160449.449  1.00%  93.6 1450s
 17349 10800 159494.263   49  105 158857.296 160446.482  1.00%  93.6 1455s
 17426 10851 158994.938   60   85 158857.296 160445.987  1.00%  93.6 1460s
 17511 10904 160297.079   35  126 158857.296 160445.174  1.00%  93.6 1465s
 17623 10936 158914.467   57   66 158857.296 160444.868  1.00%  93.4 1470s
 17677 10958 160341.275   32  122 158857.296 160444.064  1.00%  93.5 1475s
 17745 10994 159743.880   44  114 158857.296 160443.975  1.00%  93.5 1480s
 17827 11049     cutoff   57      158857.296 160443.009  1.00%  93.4 1485s
 17895 11101 159793.792   45  106 158857.296 160441.263  1.00%  93.5 1490s
 17968 11146 160125.540   39  119 158857.296 160440.318  1.00%  93.4 1495s
 18036 11185 159474.893   46  110 158857.296 160439.746  1.00%  93.4 1501s
 18076 11217 159353.309   47  100 158857.296 160439.465  1.00%  93.5 1505s
 18138 11259 158978.109   44   83 158857.296 160439.020  1.00%  93.5 1510s
 18233 11318 160300.011   38  113 158857.296 160437.972  1.00%  93.5 1515s
 18259 11344 159378.678   47   87 158857.296 160437.972  1.00%  93.5 1520s
 18341 11380     cutoff   55      158857.296 160436.437  0.99%  93.5 1525s
 18422 11416 160004.001   41  120 158857.296 160434.645  0.99%  93.4 1530s
 18493 11467 158982.896   55   95 158857.296 160434.077  0.99%  93.4 1535s
 18563 11516 159303.893   52   97 158857.296 160433.725  0.99%  93.5 1540s
 18645 11576 158998.112   55  103 158857.296 160433.502  0.99%  93.4 1545s
 18722 11611 159722.857   47  102 158857.296 160432.463  0.99%  93.4 1550s
 18787 11654 159952.719   44  129 158857.296 160432.212  0.99%  93.4 1555s
 18847 11693 160091.910   45  106 158857.296 160430.672  0.99%  93.4 1560s
 18927 11751 159637.738   50   93 158857.296 160430.477  0.99%  93.4 1565s
 18997 11799 160129.092   38  125 158857.296 160429.945  0.99%  93.4 1570s
 19067 11847 159727.781   46  101 158857.296 160428.517  0.99%  93.4 1575s
 19137 11875 159501.381   42  110 158857.296 160427.800  0.99%  93.4 1580s
 19207 11917 160059.431   39  107 158857.296 160426.619  0.99%  93.4 1585s
 19268 11960 159761.374   43  103 158857.296 160426.375  0.99%  93.4 1590s
 19340 12012 159779.652   36  118 158857.296 160425.836  0.99%  93.5 1595s
 19396 12060 158925.803   49   75 158857.296 160425.664  0.99%  93.6 1600s
 19466 12096 159164.967   42   86 158857.296 160425.298  0.99%  93.6 1605s
 19534 12140 158859.544   48   96 158857.296 160424.835  0.99%  93.7 1610s
 19598 12177 159157.316   44   81 158857.296 160424.285  0.99%  93.7 1615s
 19674 12221 160075.579   41  112 158857.296 160423.673  0.99%  93.7 1620s
 19740 12271 159384.058   49   96 158857.296 160422.960  0.99%  93.8 1625s
 19814 12304 160075.223   41  117 158857.296 160422.020  0.98%  93.7 1630s
 19883 12351 159301.188   42  107 158857.296 160421.954  0.98%  93.7 1635s
 19960 12391 160013.263   36  123 158857.296 160421.337  0.98%  93.7 1640s
