    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

H 3537  2383                    158038.79506 160979.309  1.86%  74.3  241s
  3575  2408 158720.228   51   95 158038.795 160971.677  1.86%  74.6  245s
  3620  2445 158915.917   48   96 158038.795 160971.460  1.86%  75.4  250s
  3675  2483 158904.193   57  101 158038.795 160947.178  1.84%  75.5  255s
  3707  2507 158899.753   53   89 158038.795 160946.979  1.84%  75.7  260s
H 3779  2329                    158292.77741 160934.633  1.67%  75.8  265s
  3834  2371 160236.956   41  110 158292.777 160913.804  1.66%  76.2  270s
H 3848  1758                    158803.16485 160913.804  1.33%  76.4  273s
  3872  1775 160500.898   35  131 158803.165 160912.406  1.33%  76.5  275s
  3920  1813 159854.392   40  112 158803.165 160912.372  1.33%  77.0  280s
  3966  1847 160306.577   36  119 158803.165 160912.349  1.33%  77.5  285s
  4012  1885 159614.358   46   97 158803.165 160906.345  1.32%  77.7  290s
  4062  1918 160131.094   39  124 158803.165 160890.629  1.31%  78.0  295s
  4098  1946 159639.107   41  102 158803.165 160890.542  1.31%  78.4  302s
  4121  1969 158966.324   53   85 158803.165 160890.542  1.31%  78.8  305s
H 4153  1958                    158834.75250 160877.279  1.29%  79.2  314s
  4158  1963     cutoff   45      158834.753 160877.279  1.29%  79.3  315s
  4208  1992 159315.531   44  106 158834.753 160856.398  1.27%  79.9  320s
  4277  2036 159654.702   48  105 158834.753 160856.232  1.27%  80.1  325s
  4341  2086 159389.318   56   71 158834.753 160856.109  1.27%  80.8  330s
  4406  2132 159784.779   46  101 158834.753 160852.470  1.27%  81.2  335s
  4468  2171 160585.226   38  127 158834.753 160836.326  1.26%  81.3  340s
  4519  2215 159310.212   52   83 158834.753 160836.280  1.26%  81.5  345s
  4577  2254 160173.759   41  113 158834.753 160826.483  1.25%  81.7  350s
  4622  2288 159501.606   45  114 158834.753 160820.938  1.25%  82.1  355s
  4660  2318 158915.052   53  106 158834.753 160819.114  1.25%  82.5  360s
  4714  2334 160258.018   41  132 158834.753 160818.356  1.25%  82.8  365s
  4747  2367 159030.223   56   89 158834.753 160818.356  1.25%  83.2  370s
  4813  2407 160316.798   37  121 158834.753 160813.260  1.25%  83.5  375s
  4870  2457     cutoff   66      158834.753 160813.260  1.25%  84.1  380s
  4900  2481 159210.184   59   84 158834.753 160804.622  1.24%  84.1  385s
  4953  2518 159908.740   36  114 158834.753 160797.966  1.24%  84.3  390s
  5008  2557 158877.324   56   95 158834.753 160797.157  1.24%  84.4  395s
  5054  2587 158991.998   51  101 158834.753 160794.419  1.23%  84.7  409s
  5062  2587 159265.677   52  104 158834.753 160794.419  1.23%  84.7  410s
  5124  2621 159858.746   42  125 158834.753 160793.043  1.23%  85.1  415s
  5168  2651 160017.083   43  102 158834.753 160792.456  1.23%  85.6  420s
  5230  2705 160542.517   39  124 158834.753 160784.183  1.23%  85.9  425s
  5284  2747 159908.931   49  100 158834.753 160783.453  1.23%  86.0  430s
  5337  2786 158855.975   56   83 158834.753 160774.700  1.22%  86.1  438s
  5342  2787 160231.411   38  124 158834.753 160773.565  1.22%  86.2  440s
  5395  2829 158928.031   61   89 158834.753 160769.161  1.22%  86.3  445s
  5443  2857 159909.767   44  109 158834.753 160764.628  1.22%  86.5  450s
  5506  2899 160619.582   35  120 158834.753 160764.072  1.21%  86.5  455s
  5551  2932 160072.074   39  115 158834.753 160762.172  1.21%  86.7  460s
  5623  2975 160445.154   40   96 158834.753 160762.038  1.21%  86.9  465s
  5698  3042 159984.960   38  101 158834.753 160761.510  1.21%  87.1  470s
  5761  3079     cutoff   57      158834.753 160759.644  1.21%  87.3  475s
  5820  3124 158854.515   60   93 158834.753 160749.569  1.21%  87.4  480s
  5875  3161 159424.181   50   98 158834.753 160743.491  1.20%  87.5  485s
  5932  3189 160041.870   43  114 158834.753 160742.207  1.20%  87.7  490s
  5987  3229 160241.548   38  119 158834.753 160741.134  1.20%  87.8  495s
  6039  3266 159645.709   49   91 158834.753 160740.589  1.20%  88.0  500s
  6127  3339 159410.189   54   78 158834.753 160737.595  1.20%  88.1  505s
  6205  3388 160523.632   35  122 158834.753 160733.842  1.20%  88.1  510s
  6266  3433 160560.869   36  122 158834.753 160730.510  1.19%  88.1  515s
H 6273  3436                    158835.84302 160730.510  1.19%  88.1  522s
  6283  3448 159972.140   45  101 158835.843 160730.510  1.19%  88.2  526s
  6328  3483 160472.804   38  119 158835.843 160721.881  1.19%  88.5  530s
  6387  3527 160344.345   39  122 158835.843 160720.249  1.19%  88.7  535s
  6449  3577 159855.765   46   98 158835.843 160716.994  1.18%  88.9  540s
  6542  3650 159626.152   48  117 158835.843 160716.293  1.18%  88.8  545s
  6607  3693 159794.066   50   91 158835.843 160713.254  1.18%  88.8  550s
  6624  3710 159003.668   67   70 158835.843 160713.254  1.18%  88.7  555s
  6664  3731 160006.054   36  111 158835.843 160712.186  1.18%  88.9  560s
  6735  3780 160418.879   36  122 158835.843 160712.012  1.18%  89.1  565s
  6796  3823 160229.614   38  114 158835.843 160709.492  1.18%  89.1  570s
  6855  3863 160531.892   36  127 158835.843 160703.229  1.18%  89.1  575s
  6931  3929 159796.414   42   92 158835.843 160702.866  1.18%  89.3  580s
  6992  3968 159996.507   42   94 158835.843 160699.488  1.17%  89.5  585s
  7050  4018 159579.212   50  100 158835.843 160689.805  1.17%  89.7  590s
  7108  4057 159926.241   42  103 158835.843 160686.643  1.17%  89.9  595s
  7185  4114 159906.964   42  124 158835.843 160680.319  1.16%  90.1  600s
  7220  4141 158977.719   50   89 158835.843 160679.465  1.16%  90.2  607s
  7253  4158     cutoff   54      158835.843 160679.192  1.16%  90.3  610s
  7301  4206 158988.975   59   58 158835.843 160677.994  1.16%  90.5  615s
  7372  4240 160127.130   39  100 158835.843 160676.640  1.16%  90.4  620s
  7440  4287 159713.959   51   87 158835.843 160675.743  1.16%  90.4  625s
  7514  4342 158899.953   56  101 158835.843 160674.796  1.16%  90.5  630s
  7544  4360 159268.996   59   78 158835.843 160669.896  1.15%  90.5  639s
  7562  4368 160492.836   33  128 158835.843 160669.594  1.15%  90.4  640s
  7629  4423 158856.907   53   82 158835.843 160668.898  1.15%  90.6  645s
  7693  4475 159037.971   61   53 158835.843 160660.177  1.15%  90.8  650s
  7769  4520 160383.271   38  132 158835.843 160653.193  1.14%  90.6  655s
  7845  4574 159884.579   47   93 158835.843 160651.278  1.14%  90.6  660s
  7914  4615 159425.293   48  105 158835.843 160647.315  1.14%  90.6  665s
  7971  4652 159263.339   52  116 158835.843 160645.598  1.14%  90.6  670s
  8035  4690 159872.774   43  109 158835.843 160643.833  1.14%  90.6  675s
  8109  4744 160275.902   36  126 158835.843 160641.320  1.14%  90.7  680s
  8184  4766 159847.701   43  114 158835.843 160640.517  1.14%  90.6  685s
  8217  4783 159765.484   38  104 158835.843 160635.133  1.13%  90.6  690s
  8283  4827 159924.815   45   98 158835.843 160633.722  1.13%  90.7  695s
  8346  4873 159385.768   44  112 158835.843 160629.540  1.13%  90.8  700s
  8408  4927 158897.546   60   60 158835.843 160628.374  1.13%  91.0  705s
  8460  4963 159543.597   48   97 158835.843 160626.843  1.13%  91.1  710s
  8544  5019 160019.012   37  130 158835.843 160626.339  1.13%  91.0  715s
