Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1100 columns and 800 nonzeros
Model fingerprint: 0xc0da4112
Variable types: 800 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -8.24962e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1100 columns, 0 nonzeros
Variable types: 800 continuous, 300 integer (300 binary)
Found heuristic solution: objective -8.24962e+14

Root relaxation: objective 3.513363e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1219   595 193529.125   19  140 190919.906 193761.224  1.49%   137  370s
  1238   608 192577.228   28  108 190919.906 193761.224  1.49%   139  375s
  1263   624 191963.957   41   89 190919.906 193761.224  1.49%   140  380s
  1295   646 191325.659   57   63 190919.906 193761.224  1.49%   140  385s
  1341   652 193230.485   19  136 190919.906 193719.005  1.47%   138  390s
  1353   660 192771.300   25  113 190919.906 193719.005  1.47%   140  395s
  1380   678 191864.321   39   85 190919.906 193719.005  1.47%   140  400s
  1453   696 193531.265   18  147 190919.906 193718.882  1.47%   138  410s
  1459   700 193253.840   21  136 190919.906 193718.882  1.47%   139  415s
  1478   713 192584.496   31  110 190919.906 193718.882  1.47%   141  420s
  1510   734 191647.571   47   83 190919.906 193718.882  1.47%   142  425s
  1561   754 193422.494   18  149 190919.906 193588.237  1.40%   142  431s
  1577   765 192660.145   28  113 190919.906 193588.237  1.40%   142  435s
  1614   800 191429.503   52   66 190919.906 193588.237  1.40%   143  440s
  1664   840 192713.557   25  124 190919.906 193588.220  1.40%   142  445s
  1698   874 191296.570   40   87 190919.906 193588.220  1.40%   143  450s
  1714   882 193431.734   18  141 190919.906 193479.442  1.34%   143  455s
  1736   904 192252.133   31  106 190919.906 193479.442  1.34%   144  460s
  1788   941 193276.278   21  137 190919.906 193479.441  1.34%   143  468s
  1792   945 193130.332   23  128 190919.906 193479.441  1.34%   144  470s
  1812   965 192284.118   33  104 190919.906 193479.441  1.34%   145  475s
  1858  1001 193349.678   21  133 190919.906 193474.963  1.34%   144  484s
  1861  1004 193253.188   22  126 190919.906 193474.963  1.34%   144  485s
  1878  1021 192411.872   33  108 190919.906 193474.963  1.34%   145  490s
  1920  1062 190959.203   61   46 190919.906 193474.963  1.34%   144  495s
  1941  1074 192673.040   26  127 190919.906 193474.647  1.34%   145  500s
  1964  1097 191884.613   34  105 190919.906 193474.647  1.34%   145  505s
  2008  1134 193108.336   21  136 190919.906 193470.244  1.34%   144  510s
  2035  1161 191976.689   36  107 190919.906 193470.244  1.34%   145  515s
  2083  1199 193357.710   18  134 190919.906 193469.569  1.34%   144  523s
  2089  1205 193001.229   21  127 190919.906 193469.569  1.34%   145  525s
  2114  1230 192018.406   37  101 190919.906 193469.569  1.34%   145  530s
  2158  1263 193128.413   19  139 190919.906 193434.099  1.32%   145  535s
  2178  1283 191738.799   39  106 190919.906 193434.099  1.32%   144  540s
  2196  1290 193153.894   20  137 190919.906 193432.871  1.32%   144  545s
  2211  1305 192098.262   35  125 190919.906 193432.871  1.32%   144  553s
  2220  1314 191331.163   44  109 190919.906 193432.871  1.32%   144  555s
  2237  1323 192890.669   23  127 190919.906 193431.546  1.32%   145  560s
H 2238  1269                    191022.80132 193431.546  1.26%   145  562s
  2254  1287 192221.029   32  111 191022.801 193431.546  1.26%   145  565s
H 2261  1201                    191136.27150 193431.546  1.20%   146  579s
H 2265  1203                    191139.74730 193431.546  1.20%   146  583s
  2285  1225 191220.971   47   92 191139.747 193431.546  1.20%   146  585s
  2292  1230 191289.697   51   83 191139.747 193431.546  1.20%   146  590s
  2303  1229 193248.616   20  126 191139.747 193421.868  1.19%   146  595s
  2319  1245 192112.160   36  106 191139.747 193421.868  1.19%   146  603s
  2342  1260 193308.723   19  140 191139.747 193388.403  1.18%   146  609s
  2344  1262 193243.407   21  131 191139.747 193388.403  1.18%   146  610s
H 2346  1198                    191210.88088 193388.403  1.14%   146  614s
  2349  1203 192791.682   26  118 191210.881 193388.403  1.14%   146  615s
  2381  1226     cutoff   53      191210.881 193388.403  1.14%   145  620s
  2385  1230 193131.881   22  131 191210.881 193387.585  1.14%   146  625s
