Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1400 columns and 1000 nonzeros
Model fingerprint: 0xaad40aff
Variable types: 1000 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1400 columns, 0 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.277190e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1490   479 224441.095   25  149 223415.647 224611.616  0.54%   103  516s
  1508   491 224003.987   34  128 223415.647 224611.616  0.54%   104  520s
  1553   517 224279.916   30  146 223415.647 224609.546  0.53%   104  525s
  1598   554 224347.227   27  145 223415.647 224609.137  0.53%   104  530s
  1644   590 224380.458   27  156 223415.647 224606.541  0.53%   104  535s
  1675   618 223466.204   47  119 223415.647 224606.541  0.53%   105  540s
  1702   639 223846.069   37  138 223415.647 224598.008  0.53%   106  545s
  1743   672 223902.536   38  128 223415.647 224597.886  0.53%   107  550s
  1795   715 223836.137   38  129 223415.647 224590.818  0.53%   107  555s
  1827   739 223860.696   32  140 223415.647 224590.476  0.53%   107  560s
  1846   750 224490.848   25  170 223415.647 224553.052  0.51%   108  565s
  1869   763 224422.729   26  162 223415.647 224551.354  0.51%   109  570s
  1899   781 224385.131   28  144 223415.647 224551.246  0.51%   109  575s
  1931   813 223670.772   44  100 223415.647 224551.246  0.51%   110  580s
H 1956   695                    223570.08775 224551.246  0.44%   109  581s
H 1983   686                    223576.39993 224551.246  0.44%   108  581s
  1997   690 224011.254   30  161 223576.400 224550.744  0.44%   108  585s
  2021   707 223884.170   40  117 223576.400 224530.391  0.43%   109  590s
  2041   717 224241.391   27  165 223576.400 224529.244  0.43%   109  596s
  2058   734 223790.270   38  135 223576.400 224529.244  0.43%   110  600s
  2083   751 223597.725   38  143 223576.400 224521.968  0.42%   110  605s
  2092   750 224332.736   26  163 223576.400 224519.471  0.42%   110  610s
  2117   767 224233.602   26  158 223576.400 224512.949  0.42%   111  615s
  2135   775 224265.184   27  163 223576.400 224510.315  0.42%   111  620s
  2153   792 223722.592   34  133 223576.400 224510.315  0.42%   112  625s
  2178   796 224055.283   31  148 223576.400 224509.765  0.42%   113  630s
  2204   814 223927.344   36  132 223576.400 224509.564  0.42%   113  635s
  2236   828 224291.002   28  161 223576.400 224507.129  0.42%   113  640s
  2281   842 223639.218   44  128 223576.400 224507.129  0.42%   113  645s
  2304   847 224241.846   28  160 223576.400 224504.789  0.42%   113  650s
  2324   859 224008.341   31  158 223576.400 224491.541  0.41%   114  655s
  2352   871 224051.613   28  161 223576.400 224491.264  0.41%   115  660s
  2379   886 224009.750   32  131 223576.400 224490.687  0.41%   115  665s
  2408   906 223928.910   33  150 223576.400 224489.559  0.41%   115  670s
  2432   920 223780.220   33  153 223576.400 224485.996  0.41%   116  675s
  2453   931 224028.324   31  155 223576.400 224485.696  0.41%   116  680s
  2480   944     cutoff   42      223576.400 224485.696  0.41%   117  685s
  2494   958 223589.774   32  148 223576.400 224461.987  0.40%   118  690s
  2513   959 224097.824   30  161 223576.400 224461.943  0.40%   118  695s
  2537   969 224084.306   31  148 223576.400 224455.591  0.39%   118  700s
  2562   984 223643.382   35  131 223576.400 224448.002  0.39%   119  705s
  2588   991 223642.269   38  133 223576.400 224447.693  0.39%   119  711s
  2606   995 223998.064   34  145 223576.400 224440.483  0.39%   119  715s
  2634  1013 223995.889   30  145 223576.400 224439.542  0.39%   119  720s
H 2640  1011                    223582.21298 224439.542  0.38%   119  723s
  2651  1012 224176.286   25  160 223582.213 224439.247  0.38%   119  725s
  2666  1027 223610.889   40  127 223582.213 224439.247  0.38%   119  731s
  2679  1032 223691.182   34  139 223582.213 224439.071  0.38%   120  735s
  2701  1039 223585.181   35  137 223582.213 224432.351  0.38%   120  741s
  2726  1050 223618.146   42  113 223582.213 224431.017  0.38%   120  745s
  2743  1054     cutoff   35      223582.213 224426.985  0.38%   121  750s
  2756  1064 223587.091   39  134 223582.213 224426.849  0.38%   121  755s
  2776  1073 223968.989   32  143 223582.213 224424.952  0.38%   121  760s
