Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1400 columns and 1000 nonzeros
Model fingerprint: 0x3c6c79ff
Variable types: 1000 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [2e-04, 1e+00]
Found heuristic solution: objective -1.00211e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1400 columns, 0 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)
Found heuristic solution: objective -1.00211e+15

Root relaxation: objective 4.210915e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1600   620 223640.342   21  141 222837.948 223831.178  0.45%   119  495s
  1638   645 223727.703   18  144 222837.948 223830.603  0.45%   119  500s
  1665   660 223228.324   19  140 222837.948 223823.495  0.44%   120  505s
  1683   665 223740.963   17  147 222837.948 223822.594  0.44%   120  510s
  1708   683 223679.436   18  148 222837.948 223820.953  0.44%   120  515s
  1738   697 223689.763   22  139 222837.948 223820.591  0.44%   120  520s
  1769   713 223673.608   22  142 222837.948 223820.522  0.44%   120  525s
  1798   735 222953.036   30  112 222837.948 223819.718  0.44%   121  530s
  1835   738 222931.322   28  133 222837.948 223819.091  0.44%   120  535s
  1862   747 223391.510   21  138 222837.948 223817.843  0.44%   121  540s
  1899   770 223030.205   31  110 222837.948 223817.116  0.44%   121  545s
  1938   791 223447.764   24  123 222837.948 223797.609  0.43%   121  550s
  1957   800 223595.263   22  147 222837.948 223797.592  0.43%   121  555s
  1999   820 223593.547   21  145 222837.948 223797.530  0.43%   121  560s
  2043   852 222884.896   45   87 222837.948 223797.530  0.43%   121  565s
  2086   865 223717.636   21  151 222837.948 223796.845  0.43%   122  573s
  2096   875 223045.455   31  127 222837.948 223796.845  0.43%   122  575s
  2128   883 223718.532   20  150 222837.948 223783.101  0.42%   123  581s
  2156   897 223746.419   20  159 222837.948 223782.952  0.42%   123  587s
  2164   905 223176.369   28  131 222837.948 223782.952  0.42%   123  590s
  2182   910 223621.653   24  144 222837.948 223761.894  0.41%   123  595s
  2220   935 223268.393   29  142 222837.948 223759.091  0.41%   123  600s
  2244   951 222897.403   30  116 222837.948 223759.005  0.41%   123  605s
  2270   956 223558.819   21  142 222837.948 223746.469  0.41%   124  610s
  2293   971 223723.210   20  150 222837.948 223746.104  0.41%   123  617s
  2301   979 223123.821   28  116 222837.948 223746.104  0.41%   123  620s
  2314   984 223740.234   21  157 222837.948 223742.383  0.41%   123  625s
  2336  1006 222964.001   43  113 222837.948 223742.383  0.41%   123  631s
  2352  1013 222895.254   30  125 222837.948 223742.248  0.41%   123  635s
H 2364  1007                    222849.06436 223742.248  0.40%   123  636s
  2388  1019 223000.460   30  117 222849.064 223742.218  0.40%   123  640s
  2416  1028 223177.752   27  129 222849.064 223740.910  0.40%   123  645s
  2447  1031 223710.156   18  147 222849.064 223740.857  0.40%   122  651s
  2476  1051 223322.975   23  134 222849.064 223739.955  0.40%   122  655s
  2499  1067 223135.867   30  135 222849.064 223739.073  0.40%   122  660s
  2521  1081 222915.691   31  116 222849.064 223738.702  0.40%   123  665s
  2541  1082 223561.220   21  154 222849.064 223733.668  0.40%   123  670s
  2559  1093 223485.620   20  140 222849.064 223732.624  0.40%   123  675s
  2585  1110 223393.921   25  139 222849.064 223732.615  0.40%   124  681s
  2606  1122 223446.392   23  135 222849.064 223727.192  0.39%   124  685s
  2636  1137 223251.400   26  120 222849.064 223723.016  0.39%   124  690s
  2663  1155 223192.093   30  139 222849.064 223722.141  0.39%   123  695s
  2695  1165 223393.408   20  133 222849.064 223720.681  0.39%   123  701s
  2722  1184 222869.278   42   93 222849.064 223720.681  0.39%   123  705s
  2748  1197 223496.911   23  136 222849.064 223718.415  0.39%   123  710s
  2776  1215 223522.951   21  146 222849.064 223717.592  0.39%   123  715s
  2797  1228 223346.671   28  126 222849.064 223710.224  0.39%   123  720s
  2823  1244 223246.023   25  132 222849.064 223709.236  0.39%   123  725s
  2857  1268 223112.695   35  118 222849.064 223707.485  0.39%   123  730s
  2894  1288 223368.998   28  139 222849.064 223690.540  0.38%   122  735s
  2926  1304 223291.174   19  150 222849.064 223687.494  0.38%   123  740s
  2949  1318 222894.780   28  118 222849.064 223687.494  0.38%   123  745s
  2992  1331 222964.232   39   94 222849.064 223686.114  0.38%   123  751s
  3006  1339 223512.115   23  142 222849.064 223685.832  0.38%   123  755s
  3031  1362 222999.895   31  122 222849.064 223685.832  0.38%   123  760s
  3062  1377 222923.806   30  134 222849.064 223684.924  0.38%   123  765s
  3093  1392 223411.459   22  153 222849.064 223683.235  0.37%   123  770s
  3124  1407     cutoff   32      222849.064 223679.310  0.37%   123  775s
