    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

  1953  1246 180683.164   45  108 173898.794 182577.177  4.99%  88.5  255s
  1981  1274 179766.591   59   86 173898.794 182577.177  4.99%  89.1  260s
H 1989  1131                    174749.65258 182577.177  4.48%  89.1  261s
  2000  1144 178331.503   69   86 174749.653 182577.177  4.48%  90.0  265s
  2016  1160 177660.190   77   84 174749.653 182577.177  4.48%  90.5  270s
  2041  1185 176749.059   89   69 174749.653 182577.177  4.48%  90.6  275s
  2082  1226 176380.695  110   50 174749.653 182577.177  4.48%  89.9  280s
  2119  1263 175536.244  128   35 174749.653 182577.177  4.48%  89.2  285s
  2150  1294 175067.195  144   27 174749.653 182577.177  4.48%  88.5  296s
  2158  1288 182200.070   26  146 174749.653 182521.936  4.45%  88.8  301s
  2166  1296 181714.852   30  136 174749.653 182521.936  4.45%  89.8  305s
  2177  1307 181335.964   36  124 174749.653 182521.936  4.45%  90.3  311s
  2195  1325 180966.750   45  113 174749.653 182521.936  4.45%  91.0  315s
  2204  1334 180516.619   49  107 174749.653 182521.936  4.45%  91.4  323s
  2212  1342 179990.545   53   97 174749.653 182521.936  4.45%  91.7  325s
H 2223  1349                    174792.49234 182521.936  4.42%  92.0  328s
  2231  1359 179359.151   63   86 174792.492 182521.936  4.42%  92.2  335s
  2258  1386 178323.228   76   84 174792.492 182521.936  4.42%  92.6  344s
  2259  1387 178378.427   77   77 174792.492 182521.936  4.42%  92.6  345s
  2310  1438 176466.012  102   33 174792.492 182521.936  4.42%  92.1  350s
  2412  1492 182169.600   27  141 174792.492 182519.823  4.42%  90.1  359s
  2414  1494 181874.576   28  137 174792.492 182519.823  4.42%  90.5  360s
  2420  1500 181327.114   31  132 174792.492 182519.823  4.42%  90.8  366s
  2422  1502 181265.797   32  127 174792.492 182519.823  4.42%  91.0  370s
  2444  1524 180483.720   43  114 174792.492 182519.823  4.42%  91.7  375s
  2476  1556 179049.250   59   97 174792.492 182519.823  4.42%  92.3  380s
  2507  1587 177997.851   75   80 174792.492 182519.823  4.42%  92.6  385s
  2553  1633 176787.476   98   63 174792.492 182519.823  4.42%  92.4  390s
  2619  1699 175776.610  131   32 174792.492 182519.823  4.42%  91.0  395s
  2722  1751 174911.039  189    9 174792.492 182519.823  4.42%  88.3  400s
  2732  1751 181988.834   29  144 174792.492 182488.205  4.40%  88.6  405s
  2743  1762 181435.119   31  123 174792.492 182488.205  4.40%  89.3  410s
H 2744  1566                    176124.07983 182488.205  3.61%  89.3  414s
  2747  1571 181339.687   32  130 176124.080 182488.205  3.61%  89.4  415s
  2767  1591 180876.812   43  116 176124.080 182488.205  3.61%  90.1  420s
  2796  1620 179689.975   53   98 176124.080 182488.205  3.61%  90.5  425s
  2836  1660 178526.210   68   80 176124.080 182488.205  3.61%  90.6  430s
  2899  1723 176956.390  105   39 176124.080 182488.205  3.61%  90.0  435s
  2927  1741 181466.764   34  130 176124.080 182485.609  3.61%  90.0  440s
  2954  1768 180041.818   46  113 176124.080 182485.609  3.61%  90.7  445s
  2987  1801 179011.606   58   96 176124.080 182485.609  3.61%  91.1  450s
  3006  1820 178636.699   70   91 176124.080 182485.609  3.61%  91.1  455s
  3046  1860 177370.264   87   45 176124.080 182485.609  3.61%  91.1  460s
  3124  1921 181978.090   27  138 176124.080 182389.227  3.56%  90.0  465s
  3153  1950 180945.085   42  116 176124.080 182389.227  3.56%  90.5  470s
  3199  1996 179246.158   62   85 176124.080 182389.227  3.56%  90.7  475s
  3252  2049 177607.415   88   50 176124.080 182389.227  3.56%  90.5  480s
  3308  2095 181936.917   28  144 176124.080 182388.248  3.56%  89.9  485s
  3329  2116 180149.526   42  110 176124.080 182388.248  3.56%  90.4  490s
  3353  2140 179359.600   52   99 176124.080 182388.248  3.56%  90.7  495s
  3385  2172 178272.422   67   74 176124.080 182388.248  3.56%  90.9  500s
  3438  2225 176694.680   96   49 176124.080 182388.248  3.56%  90.5  505s
  3494  2266 180945.831   30  129 176124.080 182382.416  3.55%  90.1  510s
  3519  2291 179696.291   42  101 176124.080 182382.416  3.55%  90.3  515s
  3560  2332 178601.899   58   91 176124.080 182382.416  3.55%  90.5  520s
  3613  2385 177173.649   82   53 176124.080 182382.416  3.55%  90.2  525s
  3692  2447 181967.333   27  146 176124.080 182380.737  3.55%  89.3  530s
  3717  2472 179951.661   41  111 176124.080 182380.737  3.55%  89.7  535s
  3744  2499 179271.753   53   88 176124.080 182380.737  3.55%  89.8  543s
  3760  2515 178829.031   56   76 176124.080 182380.737  3.55%  89.9  545s
  3816  2571 177251.444   84   56 176124.080 182380.737  3.55%  89.6  550s
  3884  2629 181921.015   27  141 176124.080 182370.029  3.55%  89.1  555s
  3906  2651 180500.971   38  110 176124.080 182370.029  3.55%  89.6  560s
  3939  2684 179666.788   50  102 176124.080 182370.029  3.55%  90.0  565s
  3972  2717 178549.671   62   88 176124.080 182370.029  3.55%  90.3  570s
  4008  2753 177627.977   82   67 176124.080 182370.029  3.55%  90.2  576s
  4078  2819 176234.782  111   38 176124.080 182370.029  3.55%  89.6  580s
  4106  2835 181113.265   38  121 176124.080 182369.886  3.55%  89.9  585s
  4123  2852 180408.224   44  114 176124.080 182369.886  3.55%  90.3  590s
  4152  2881 179445.184   54   97 176124.080 182369.886  3.55%  90.5  595s
  4182  2911 178342.647   71   73 176124.080 182369.886  3.55%  90.6  600s
  4268  2996 176198.981  126   28 176124.080 182369.886  3.55%  89.6  605s
  4319  3024 181482.586   32  138 176124.080 182343.875  3.53%  89.1  610s
  4333  3038 180235.527   46  126 176124.080 182343.875  3.53%  89.3  615s
  4353  3058 177854.946   66   95 176124.080 182343.875  3.53%  89.4  620s
  4378  3075 181600.364   30  141 176124.080 182343.016  3.53%  89.5  625s
  4395  3092 180131.846   47  120 176124.080 182343.016  3.53%  89.6  630s
  4424  3121 178034.627   76   95 176124.080 182343.016  3.53%  89.5  635s
  4466  3149 181846.945   28  146 176124.080 182331.102  3.52%  89.3  640s
  4481  3164 181387.157   36  131 176124.080 182331.102  3.52%  89.7  645s
  4506  3189 180078.685   48  111 176124.080 182331.102  3.52%  90.0  650s
  4531  3214 178812.939   61  103 176124.080 182331.102  3.52%  90.3  655s
  4561  3244 178152.096   76   89 176124.080 182331.102  3.52%  90.5  660s
  4599  3282 176837.018   95   70 176124.080 182331.102  3.52%  90.5  665s
  4635  3305 180834.740   33  133 176124.080 182330.696  3.52%  90.6  670s
  4656  3326 179048.929   54  109 176124.080 182330.696  3.52%  90.6  675s
  4693  3363 176526.329   91   85 176124.080 182330.696  3.52%  90.5  680s
  4717  3377 180712.928   39  110 176124.080 182297.448  3.51%  90.8  685s
  4753  3411 176717.110   75   51 176124.080 182297.448  3.51%  90.9  690s
  4784  3435 180748.073   36  121 176124.080 182296.702  3.50%  91.1  695s
  4810  3461 179832.812   47   94 176124.080 182296.702  3.50%  91.4  700s
  4850  3501 178417.345   66   67 176124.080 182296.702  3.50%  91.6  705s
  4916  3567 177155.658  100   12 176124.080 182296.702  3.50%  91.1  710s
* 4963  3294             143    176593.34330 182296.702  3.23%  90.4  711s
  4972  3297 180802.544   34  127 176593.343 182290.836  3.23%  90.7  715s
  4997  3322 178558.534   59   96 176593.343 182290.836  3.23%  90.8  720s
  5030  3345 181852.367   30  149 176593.343 182263.742  3.21%  90.9  726s
  5051  3366 179208.347   51  115 176593.343 182263.742  3.21%  91.1  730s
  5092  3399 181494.831   28  147 176593.343 182263.513  3.21%  91.2  735s
  5107  3414 180018.730   43  126 176593.343 182263.513  3.21%  91.3  740s
  5118  3425 178952.283   54  121 176593.343 182263.513  3.21%  91.4  745s
  5136  3443 176785.163   72  105 176593.343 182263.513  3.21%  91.6  750s
  5156  3449 181282.526   31  141 176593.343 182249.986  3.20%  91.8  755s
  5167  3460 180451.410   36  127 176593.343 182249.986  3.20%  92.1  760s
  5177  3470 179739.308   39  114 176593.343 182249.986  3.20%  92.4  765s
  5194  3487 179660.382   42  119 176593.343 182249.986  3.20%  92.7  770s
H 5211  3492                    176611.12568 182249.986  3.19%  92.9  775s
  5233  3516 178048.087   53   98 176611.126 182249.986  3.19%  93.2  780s
  5262  3543 176649.261   64   85 176611.126 182249.986  3.19%  93.3  785s
  5268  3545 180900.600   31  134 176611.126 182249.377  3.19%  93.5  794s
  5273  3550 180761.029   36  129 176611.126 182249.377  3.19%  93.5  795s
  5291  3568 178794.979   54  109 176611.126 182249.377  3.19%  93.6  800s
  5323  3590 181647.651   29  141 176611.126 182234.420  3.18%  93.7  805s
  5347  3614 178941.336   53   90 176611.126 182234.420  3.18%  93.6  810s
  5364  3631 177279.859   70   55 176611.126 182234.420  3.18%  93.6  817s
  5383  3640 181237.229   32  137 176611.126 182233.649  3.18%  93.6  820s
  5408  3665 178139.212   57  102 176611.126 182233.649  3.18%  93.6  825s
  5437  3686 180699.834   32  134 176611.126 182232.565  3.18%  93.6  830s
  5462  3711 178166.575   57  104 176611.126 182232.565  3.18%  93.6  835s
  5495  3726 181811.454   28  151 176611.126 182215.762  3.17%  93.7  840s
H 5496  3697                    176659.85461 182215.762  3.14%  93.6  851s
  5509  3712 179492.194   42  115 176659.855 182215.762  3.14%  93.9  855s
  5522  3725 178053.576   55  104 176659.855 182215.762  3.14%  93.9  873s
  5523  3726 177877.972   56  100 176659.855 182215.762  3.14%  94.0  878s
  5547  3742 182066.816   26  156 176659.855 182215.742  3.14%  93.9  881s
  5550  3745 181282.145   29  140 176659.855 182215.742  3.14%  94.0  888s
  5555  3750 180816.058   34  128 176659.855 182215.742  3.14%  94.1  890s
  5577  3772 178710.483   56  121 176659.855 182215.742  3.14%  94.3  897s
  5595  3790 177368.695   74   94 176659.855 182215.742  3.14%  94.4  900s
  5615  3802 181766.748   26  149 176659.855 182211.384  3.14%  94.4  905s
  5631  3818 180290.248   33  123 176659.855 182211.384  3.14%  94.8  929s
  5632  3819 180210.328   34  115 176659.855 182211.384  3.14%  94.8  930s
  5667  3854 178716.852   53   88 176659.855 182211.384  3.14%  95.0  935s
  5741  3914 181624.587   26  145 176659.855 182209.822  3.14%  94.6  940s
  5758  3931 179478.959   43  121 176659.855 182209.822  3.14%  94.7  945s
  5791  3964 177329.252   76   96 176659.855 182209.822  3.14%  94.7  950s
  5812  3978 180941.003   31  129 176659.855 182201.888  3.14%  94.8  955s
  5831  3997 179000.750   50   91 176659.855 182201.888  3.14%  95.0  960s
  5885  4042 180818.858   32  133 176659.855 182201.388  3.14%  94.9  965s
  5928  4085 176848.679   75   88 176659.855 182201.388  3.14%  95.0  970s
  5948  4097 180308.587   40  128 176659.855 182195.596  3.13%  95.2  975s
  5973  4122 177297.489   65  101 176659.855 182195.596  3.13%  95.2  980s
  6001  4131 182062.798   32  149 176659.855 182192.883  3.13%  95.3  985s
  6014  4144 181434.470   39  134 176659.855 182192.883  3.13%  95.6  990s
  6032  4162 180660.915   48  119 176659.855 182192.883  3.13%  95.9  995s
  6054  4184 179925.595   59  109 176659.855 182192.883  3.13%  96.1 1000s
